Taxa.name	Kingdom	Phylum	Class	Order	Family	Genus	Species	1.1_MSU977	12.1_MSU977	13.1_MSU977	14.1_MSU977	15.1_MSU977	17.1_MSU977	22.1_MSU977	23.1_MSU977	24.1_MSU977	26.1_MSU977	28.1_MSU977	31.1_MSU977	32.1_MSU977	33.1_MSU977	35.1_MSU977	37.1_MSU977	39.1_MSU977	4.1_MSU977	5.1_MSU977	9.1_MSU977	10.1_MSU977	11.1_MSU977	16.1_MSU977	18.1_MSU977	19.1_MSU977	2.1_MSU977	20.1_MSU977	21.1_MSU977	25.1_MSU977	29.1r_MSU997	3.1_MSU977	30.1_MSU977	34.1_MSU977	36.1_MSU977	38.1_MSU977	40.1_MSU977	41.1_MSU977	6.1_MSU977	7.1_MSU977	8.1_MSU977	1.2_MSU977	12.2_MSU977	13.2_MSU977	14.2_MSU977	15.2_MSU977	17.2_MSU977	22.2_MSU977	23.2_MSU977	24.2_MSU977	26.2_MSU977	28.2_MSU977	31.2_MSU977	32.2_MSU977	33.2_MSU977	35.2_MSU977	37.2_MSU977	39.2_MSU977	4.2_MSU977	5.2_MSU977	9.2_MSU977	10.2_MSU977	11.2_MSU977	16.2_MSU977	18.2_MSU977	19.2_MSU977	2.2_MSU977	20.2_MSU977	21.2_MSU977	25.2_MSU977	29.2_MSU977	3.2_MSU977	30.2_MSU977	34.2_MSU977	36.2_MSU977	38.2_MSU977	40.2_MSU977	41.2_MSU977	6.2_MSU977	7.2_MSU977	8.2_MSU977	1.5_MSU977	12.5_MSU977	13.5_MSU977	14.5_MSU977	15.5_MSU977	17.5_MSU977	22.5_MSU977	23.5_MSU977	24.5_MSU977	26.5_MSU977	28.5_MSU977	31.5_MSU977	32.5_MSU977	33.5_MSU977	35.5_MSU977	37.5_MSU977	39.5_MSU977	4.5_MSU977	5.5_MSU977	9.5_MSU977	10.5_MSU977	11.5_MSU977	16.5_MSU977	18.5_MSU977	19.5_MSU977	2.5_MSU977	20.5_MSU977	21.5_MSU977	25.5_MSU977	29.5_MSU977	3.5_MSU977	30.5_MSU977	34.5_MSU977	36.5_MSU977	38.5_MSU977	40.5_MSU977	41.5_MSU977	6.5_MSU977	7.5_MSU977	8.5_MSU977	1.7_MSU977	12.7_MSU977	13.7_MSU977	14.7_MSU977	15.7_MSU977	17.7_MSU977	22.7_MSU977	23.7_MSU977	24.7_MSU977	26.7_MSU977	28.7_MSU977	31.7_MSU977	32.7_MSU977	33.7_MSU977	35.7_MSU977	37.7_MSU977	39.7_MSU977	4.7_MSU977	5.7_MSU977	9.7_MSU977	10.7_MSU977	11.7_MSU977	16.7_MSU977	18.7_MSU977	19.7_MSU977	2.7_MSU977	20.7_MSU977	21.7_MSU977	25.7_MSU977	3.7_MSU977	30.7_MSU977	34.7_MSU977	36.7_MSU977	38.7_MSU977	40.7_MSU977	41.7_MSU977	6.7_MSU977	7.7_MSU977	8.7_MSU977	Taxonomy Id	Taxonomy Lineage
Acetobacter_u_s	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_u_s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	k__Bacteria(2);p__Proteobacteria(1224);c__Alphaproteobacteria(28211);o__Rhodospirillales(204441);f__Acetobacteraceae(433);g__Acetobacter(434);s__Acetobacter_u_s(434);
Acetobacterium_u_s	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Acetobacterium	Acetobacterium_u_s	0	0	2	0	0	1.07	0	0	0	0	3.04	0	2.04	0	0	0	0	2.51	0	0	3.16	0	0	0	0	0	1.98	0	0	0	0	0	2.09	3.67	0	0	0	0	0	0	1.38	3.74	0	0	0	0	1.54	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05	1.65	0	0	0	3.14	0	0	2.73	2.32	3.75	0	4.78	0	1.9	0	0	0	0	0	0	0	1.67	3.07	2.71	1.72	0	3.01	0	1.67	1.37	0	0	3.65	1.78	0	0	0	0	1.57	2.2	0	1.39	1.62	2	1.5	0	3.05	0	0	1.96	3.29	0	0	0	0	2.12	0	2.97	0	0	0	1.45	0	1.5	0	0	1.5	0	0	0	0	0	0	2.92	0	0	0	0	0	0	1.48	0	1.51	2.69	33951	k__Bacteria(2);p__Firmicutes(1239);c__Clostridia(186801);o__Clostridiales(186802);f__Eubacteriaceae(186806);g__Acetobacterium(33951);s__Acetobacterium_u_s(33951);
Acholeplasma_u_s	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_u_s	0	0	0	0	0	0	0	0	0	2.39	0	0	0	0	0	0	0	0	3.02	3.18	0	0	0	0	0	0	0	1.93	0	0	0	0	4.12	2.46	0	0	0	0	0	0	0	2.24	0	0	0	0	0	0	2.51	2.4	0	0	0	0	0	0	0	0	0	4.46	0	0	2.49	0	0	0	0	0	0	2.18	0	0	0	2.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.74	2.31	0	0	0	0	0	0	0	2.46	0	2.42	0	0	0	0	0	0	0	0	0	0	7.29	0	2.08	2.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	2.07	0	0	0	0	0	0	0	0	0	0	0	2147	k__Bacteria(2);p__Tenericutes(544448);c__Mollicutes(31969);o__Acholeplasmatales(186329);f__Acholeplasmataceae(2146);g__Acholeplasma(2147);s__Acholeplasma_u_s(2147);
Acidaminococcus_u_s	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_u_s	23.03	0	0	0	42.09	90.91	22.17	23.34	0	107.97	3.63	0	40.81	0	12.38	0	59.01	32.52	11.2	21.12	23.13	0	36.43	33.14	22.13	4.12	0	40.23	5.22	11.99	28.16	28.76	0	5.6	90.31	0	3.28	5.52	0	22.03	3.88	4.1	3.61	37.9	4.43	0	3.32	26.81	3.34	4.24	0	3.29	3.91	3.31	0	3.92	24.26	2.47	6.79	5.16	32.72	30.09	3.17	3.27	3.81	19.69	18.32	22.68	29.94	17.53	3.18	0	13.39	3.38	0	0	13.09	4.22	11.22	21.67	18.21	3.08	5.22	4.14	23.19	35.27	20.41	3.13	6.89	2.62	3.55	29.79	4.44	15.49	24.48	1.83	4.79	4.58	3.56	5.02	15.13	4.34	23.13	3.3	3.99	15.12	14.27	4.32	5.05	2.87	4.57	24.28	4.42	4.75	4.26	22.65	3.48	4.82	4.47	3.01	14.03	0	2.52	4.04	10.96	16.83	0	22.79	0	11.83	0	0	4.72	0	35.3	3.49	10.9	5.75	3.54	4.13	2.59	2.52	15.55	63.82	5.58	2.55	0	2.43	3.9	12.6	3.02	2.15	0	4.54	4.32	3.25	3.55	10.6	15.94	904	k__Bacteria(2);p__Firmicutes(1239);c__Negativicutes(909932);o__Acidaminococcales(1843488);f__Acidaminococcaceae(909930);g__Acidaminococcus(904);s__Acidaminococcus_u_s(904);
Acidithiobacillus_u_s	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus_u_s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0	0	0	0	0	0	0	0	0	3.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.86	0	3.97	0	0	0	0	0	0	5.13	0	0	0	0	0	0	0	0	0	0	0	0	3.52	3.62	0	3.58	5.03	0	0	0	5.06	5.08	3.49	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119977	k__Bacteria(2);p__Proteobacteria(1224);c__Acidithiobacillia(1807140);o__Acidithiobacillales(225057);f__Acidithiobacillaceae(225058);g__Acidithiobacillus(119977);s__Acidithiobacillus_u_s(119977);
Aciduliprofundum_u_s	Archaea	Euryarchaeota	Euryarchaeota_u_c	Euryarchaeota_u_o	Euryarchaeota_u_f	Aciduliprofundum	Aciduliprofundum_u_s	0	0	0	0	0	0	0	0	0	0	0	0	6.15	0	0	0	0	0	0	0	0	0	0	0	8.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15	0	0	0	0	0	0	11.77	0	0	0	0	0	0	0	0	6.15	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15	0	0	0	0	0	0	0	0	0	0	0	379546	k__Archaea(2157);p__Euryarchaeota(28890);c__Euryarchaeota_u_c(28890);o__Euryarchaeota_u_o(28890);f__Euryarchaeota_u_f(28890);g__Aciduliprofundum(379546);s__Aciduliprofundum_u_s(379546);
Acinetobacter calcoaceticus/baumannii complex	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus/baumannii complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96	0	0	0	0	0	0	0	6.89	0	0	0	0	0	0	0	0	0	0	4.31	0	10.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.59	1.96	9.36	0	0	0	0	909768	k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pseudomonadales(72274);f__Moraxellaceae(468);g__Acinetobacter(469);s__Acinetobacter calcoaceticus/baumannii complex(909768);
Acinetobacter sp. 983759	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. 983759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310660	k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pseudomonadales(72274);f__Moraxellaceae(468);g__Acinetobacter(469);s__Acinetobacter sp. 983759(1310660);
Geodermatophilaceae_u_s	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilaceae_u_g	Geodermatophilaceae_u_s	0	0	1.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85030	k__Bacteria(2);p__Actinobacteria(201174);c__Actinobacteria(1760);o__Geodermatophilales(1643682);f__Geodermatophilaceae(85030);g__Geodermatophilaceae_u_g(85030);s__Geodermatophilaceae_u_s(85030);
Blastococcus_u_s	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus_u_s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38501	k__Bacteria(2);p__Actinobacteria(201174);c__Actinobacteria(1760);o__Geodermatophilales(1643682);f__Geodermatophilaceae(85030);g__Blastococcus(38501);s__Blastococcus_u_s(38501);
Alloscardovia_u_s	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Alloscardovia_u_s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419014	k__Bacteria(2);p__Actinobacteria(201174);c__Actinobacteria(1760);o__Bifidobacteriales(85004);f__Bifidobacteriaceae(31953);g__Alloscardovia(419014);s__Alloscardovia_u_s(419014);
Actinokineospora_u_s	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	Actinokineospora_u_s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39845	k__Bacteria(2);p__Actinobacteria(201174);c__Actinobacteria(1760);o__Pseudonocardiales(85010);f__Pseudonocardiaceae(2070);g__Actinokineospora(39845);s__Actinokineospora_u_s(39845);
