Name	Kingdom	Phylum	Class	Order	Family	Genus	Species	1.1_MSU977	12.1_MSU977	13.1_MSU977	14.1_MSU977	15.1_MSU977	17.1_MSU977	22.1_MSU977	23.1_MSU977	24.1_MSU977	26.1_MSU977	28.1_MSU977	31.1_MSU977	32.1_MSU977	33.1_MSU977	35.1_MSU977	37.1_MSU977	39.1_MSU977	4.1_MSU977	5.1_MSU977	9.1_MSU977	10.1_MSU977	11.1_MSU977	16.1_MSU977	18.1_MSU977	19.1_MSU977	2.1_MSU977	20.1_MSU977	21.1_MSU977	25.1_MSU977	29.1r_MSU997	3.1_MSU977	30.1_MSU977	34.1_MSU977	36.1_MSU977	38.1_MSU977	40.1_MSU977	41.1_MSU977	6.1_MSU977	7.1_MSU977	8.1_MSU977	1.2_MSU977	12.2_MSU977	13.2_MSU977	14.2_MSU977	15.2_MSU977	17.2_MSU977	22.2_MSU977	23.2_MSU977	24.2_MSU977	26.2_MSU977	28.2_MSU977	31.2_MSU977	32.2_MSU977	33.2_MSU977	35.2_MSU977	37.2_MSU977	39.2_MSU977	4.2_MSU977	5.2_MSU977	9.2_MSU977	10.2_MSU977	11.2_MSU977	16.2_MSU977	18.2_MSU977	19.2_MSU977	2.2_MSU977	20.2_MSU977	21.2_MSU977	25.2_MSU977	29.2_MSU977	3.2_MSU977	30.2_MSU977	34.2_MSU977	36.2_MSU977	38.2_MSU977	40.2_MSU977	41.2_MSU977	6.2_MSU977	7.2_MSU977	8.2_MSU977	1.5_MSU977	12.5_MSU977	13.5_MSU977	14.5_MSU977	15.5_MSU977	17.5_MSU977	22.5_MSU977	23.5_MSU977	24.5_MSU977	26.5_MSU977	28.5_MSU977	31.5_MSU977	32.5_MSU977	33.5_MSU977	35.5_MSU977	37.5_MSU977	39.5_MSU977	4.5_MSU977	5.5_MSU977	9.5_MSU977	10.5_MSU977	11.5_MSU977	16.5_MSU977	18.5_MSU977	19.5_MSU977	2.5_MSU977	20.5_MSU977	21.5_MSU977	25.5_MSU977	29.5_MSU977	3.5_MSU977	30.5_MSU977	34.5_MSU977	36.5_MSU977	38.5_MSU977	40.5_MSU977	41.5_MSU977	6.5_MSU977	7.5_MSU977	8.5_MSU977	1.7_MSU977	12.7_MSU977	13.7_MSU977	14.7_MSU977	15.7_MSU977	17.7_MSU977	22.7_MSU977	23.7_MSU977	24.7_MSU977	26.7_MSU977	28.7_MSU977	31.7_MSU977	32.7_MSU977	33.7_MSU977	35.7_MSU977	37.7_MSU977	39.7_MSU977	4.7_MSU977	5.7_MSU977	9.7_MSU977	10.7_MSU977	11.7_MSU977	16.7_MSU977	18.7_MSU977	19.7_MSU977	2.7_MSU977	20.7_MSU977	21.7_MSU977	25.7_MSU977	3.7_MSU977	30.7_MSU977	34.7_MSU977	36.7_MSU977	38.7_MSU977	40.7_MSU977	41.7_MSU977	6.7_MSU977	7.7_MSU977	8.7_MSU977	Taxonomy Id	Taxonomy Lineage
Cronobacter phage vB_CsaP_GAP52	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Podoviridae	Podoviridae_u_g	Cronobacter phage vB_CsaP_GAP52	5.45	0	31.08	0	0	0	0	0	10.86	0	3.93	0	0	0	0	0	0	13.49	8.2	0	9.88	5.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1141137	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Podoviridae(10744);g__Podoviridae_u_g(10744);s__Cronobacter phage vB_CsaP_GAP52(1141137);
Karamvirus_u_s	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Myoviridae	Karamvirus	Karamvirus_u_s	0	0	0	0	3.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1913650	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Myoviridae(10662);g__Karamvirus(1913650);s__Karamvirus_u_s(1913650);
Escherichia virus CC31	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Myoviridae	Karamvirus	Escherichia virus CC31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1913656	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Myoviridae(10662);g__Karamvirus(1913650);s__Escherichia virus CC31(1913656);
Enterobacteria phage BP-4795	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Siphoviridae	Siphoviridae_u_g	Enterobacteria phage BP-4795	0	25.94	0	25.94	13.74	147.2	0	20.87	0	0	0	0	0	22.35	0	0	0	98.76	12.8	0	38.13	13.32	39.37	19.74	0	0	6.74	0	15.88	0	3.23	0	0	0	0	44.53	0	0	48.24	0	0	0	0	0	40.12	0	0	5.82	0	0	0	0	0	0	21.32	0	0	0	0	0	0	0	0	0	2.36	0	0	0	0	0	0	0	0	7.68	0	0	0	0	0	0	0	5.37	0	0	0	0	0	1.77	0	0	0	0	0	0	0	0	0	0	59.4	0	0	0	0	0	6.74	0	0	0	0	0	19.18	0	0	0	0	0	0	0	0	0	0	0	0	16.97	0	0	27.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.32	0	0	0	0	8.55	0	0	0	0	0	0	0	0	0	0	12.17	0	196242	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Siphoviridae(10699);g__Siphoviridae_u_g(10699);s__Enterobacteria phage BP-4795(196242);
Escherichia virus HK106	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Siphoviridae	Hendrixvirus	Escherichia virus HK106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169920	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Siphoviridae(10699);g__Hendrixvirus(2169654);s__Escherichia virus HK106(2169920);
Enterobacteria phage HK140	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Siphoviridae	Hendrixvirus	Enterobacteria phage HK140	0	0	0	0	0	0	0	0	0	0	0	0	0	24.69	0	0	0	0	0	0	0	4.11	0	0	0	0	0	0	0	0	0	0	7.68	0	0	0	12.46	0	4.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1147143	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Siphoviridae(10699);g__Hendrixvirus(2169654);s__Enterobacteria phage HK140(1147143);
Escherichia virus HK544	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Siphoviridae	Hendrixvirus	Escherichia virus HK544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169923	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Siphoviridae(10699);g__Hendrixvirus(2169654);s__Escherichia virus HK544(2169923);
Escherichia virus HK629	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Siphoviridae	Lambdavirus	Escherichia virus HK629	0	0	0	0	0	0	0	0	0	0	0	0	0	7.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169968	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Siphoviridae(10699);g__Lambdavirus(186765);s__Escherichia virus HK629(2169968);
Escherichia virus HK633	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Siphoviridae	Hendrixvirus	Escherichia virus HK633	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5595.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169924	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Siphoviridae(10699);g__Hendrixvirus(2169654);s__Escherichia virus HK633(2169924);
Enterobacteria phage IME10	Viruses	Viruses_u_p	Viruses_u_c	Caudovirales	Podoviridae	Lederbergvirus	Enterobacteria phage IME10	0	0	0	0	0	72.19	0	0	0	0	0	0	0	20.44	17.98	0	0	0	0	0	0	0	0	0	0	0	0	7.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	2.85	0	0	0	0	0	0	22.08	11.02	0	0	0	0	0	0	2.7	0	0	11.02	0	0	0	2.85	0	3.79	0	0	0	0	2.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.61	0	0	24.85	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5388.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.46	0	0	0	0	0	0	0	0	0	0	0	0	0	1090133	k__Viruses(10239);p__Viruses_u_p(10239);c__Viruses_u_c(10239);o__Caudovirales(28883);f__Podoviridae(10744);g__Lederbergvirus(186794);s__Enterobacteria phage IME10(1090133);
