Name,Acidipropionibacterium,Acidithiobacillus,Actinobacteria_u_g,Alkaliphilus,Alphaproteobacteria_u_g,Aminobacter,Anaerococcus,Anaeromyxobacter,Anaerotruncus,Atopobium,Bacillus,Bacteroidales_u_g,Brachyspira,Butyricicoccus,Caloramator,Campylobacter,Candidatus Paracaedibacteraceae_u_g,Candidatus Phytoplasma,Cardiobacterium,Catabacter,Cetobacterium,Clavibacter,Clostridiales Family XIII. Incertae Sedis_u_g,Collinsella,Coprococcus,Corynebacterium,Cutibacterium,Cytophaga,Deinococcus-Thermus_u_g,Desulfobulbus,Desulfomicrobium,Desulfotomaculum,Dorea,Erysipelotrichaceae_u_g,Escherichia,Ethanoligenens,Ferrimonas,Firmicutes_u_g,Flavobacteriales_u_g,Gallibacterium,Gemella,Geobacillus,Glycomyces,Gordonia,Halocynthiibacter,Halorubrum,Helcococcus,Hippea,Holophagaceae_u_g,Holospora,Hungateiclostridiaceae_u_g,Imtechella,Intestinibacter,Kandleria,Kocuria,Laceyella,Lachnobacterium,Lachnoclostridium,Lachnospira,Leclercia,Megamonas,Megasphaera,Methanosarcina,Methylobacterium,Microbacterium,Micrococcaceae_u_g,Micromonospora,Microvirga,Mogibacterium,Myxococcaceae_u_g,Nitrospiraceae_u_g,Ochrobactrum,Olsenella,Opitutales_u_g,Paeniclostridium,Parvimonas,Pelosinus,Peptococcaceae_u_g,Peptostreptococcaceae_u_g,Peptostreptococcus,Phyllobacteriaceae_u_g,Porphyromonas,Propionibacteriaceae_u_g,Pseudobutyrivibrio,Pseudonocardia,Pseudoxanthomonas,Rickettsiales_u_g,Rikenellaceae_u_g,Roseburia,Runella,Saccharibacillus,Saccharomonospora,Saccharopolyspora,Salmonella,Selenomonadaceae_u_g,Shewanella,Shigella,Shuttleworthia,Slackia,Sphaerobacteraceae_u_g,Sphingobacteriaceae_u_g,Sporolactobacillus,Staphylococcus,Succinatimonas,Succiniclasticum,Succinivibrio,Taylorella,Thalassospira,Thermaerobacter,Thermoactinomyces,Thermoanaerobacterales_u_g,Thermobifida,Thermobispora,Treponema,Turicibacter,Tyzzerella,Ureaplasma,Ureibacillus,Veillonellaceae_u_g,Xylella,Yersinia
1.1_MSU977,0,0,4.41,0,0,0,0,0,0,22.09,24.26,235.36,0,17.95,3.65,0,0,0,0,10.27,0,0,559.95,21.11,22.51,0,0,0,0,0,0,1.33,0,106.17,24.83,0,0,50.53,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,10.23,0,0,0,0,72.21,25.07,0,0,0,0,3.94,71.17,0,0,0,0,4.13,0,0,7,0,18.2,0,0,0,20.45,1.96,0,14.63,0,18.55,0,0,0,0,12.84,0,0,0,0,0,6.18,1.34,3.79,0,9.85,0,0,0,0,0,0,197.9,0,0,0,36.58,0,10.27,0,55.12,216.02,0,0,0,8.7,0,0
12.1_MSU977,0,0,0,0,0,0,0,0,0,0,16.31,53.29,0,9.31,0,0,0,0,0,143.96,0,0,959.65,31.98,0,15.84,0,0,0,0,0,0,0,648.58,1.72,0,0,58.81,0,0,0,0,0,0,0,1.46,0,1.57,1.54,0,0,0,14.51,357.82,17.94,0,0,62.22,34.41,0,0,0,0,0,0,0,0,0,12.35,0,0,0,34.88,0,23.03,0,0,0,27.99,1.27,0,3.04,0,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95,0,0,1.56,0,0,0,7.97,0,0,0,0,0,8.56,0,0,18.86,0,0,0,0,0,0
13.1_MSU977,0,0,0,0,0,0,0,0,0,570.03,43.28,74.66,0,18.42,3.19,0,0,0,0,46.84,0,0,473.16,36.06,11.85,0,0,0,0,0,0,1.81,6.58,119.4,40.14,0,0,82.83,0,0,0,0,0,17.07,0,0,0,0,1.03,0,0,0,24.62,16.43,5.27,0,0,53.99,45.39,0,0,27.07,0,0,0,0,0,0,0,2.86,0,0,79.99,0,13.04,0,0,0,33.42,1.89,0,5.8,0,24.37,0,0,0,0,24.58,0,0,22.72,74.23,0,0,0,2.99,0,21.91,0,0,0,0,9.03,0,3194.24,0,0,3.33,0,2.55,138.43,0,2.97,634.27,7.36,0,0,4.82,0,0
14.1_MSU977,0,0,0,0,0,0,0,0,0,0,37.1,719.97,0,12.04,0,0,0,0,0,62.43,1.15,0,549.12,40.72,66.85,0,0,0,0,0,0,0,87.79,149.11,9.06,0,0,48.51,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0,14.06,12.31,14.37,0,62.07,53.61,67.39,0,4.48,0,0,0,0,0,7.94,0,0,0,0,0,19.61,0,18.94,4.05,12.04,0,13.61,0,0,3.75,0,67.69,0,0,0,0,125.64,0,0,16.62,39.73,0,0,0,0,0,11.47,0,0,0,0,41.6,0,19536.67,0,0,0,0,1.48,125.32,0,45.78,180.02,32.39,0,0,32.2,0,0
15.1_MSU977,0,0,0,0,0,0,0,1.18,0,58.45,52.83,4872.2,0,12.34,5.38,1.21,0,0,0,46.76,0,0,447.8,28.68,23.05,0,0,0,0,0,0,0,0,121.63,2.81,0,0,80.85,0,0,0,0,0,11.86,0,0,0,0,5.64,0,0,0,13.61,7.55,0,0,31.31,63.24,22.01,0,0,0,0,0,4.53,0,0,0,0,5.8,0,0,6.42,0,29.52,2.26,0,0,15.66,29.96,0,14.36,0,33.43,0,0,0,0,58.94,0,0,14.45,18.72,0,20.34,0,0,0,7.11,0,0,0,0,15.86,0,2733.62,0,0,0,0,0,85.98,0,34.59,219.99,14.33,0,0,12.24,0,0
17.1_MSU977,0,0,0,0,0,0,0,0,0,89.79,23.36,10794.9,0,20.41,0,0,0,0,0,96.45,0,0,1020.12,68.4,36.85,21.75,0,0,0,0,0,0,79.16,1918.26,110.54,6.94,0,118.17,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,56.98,1585.76,2.37,0,49.49,85.87,130.37,0,0,104.22,0,0,0,0,0,0,0,0,0,0,346.7,0,6.68,0,0,0,32.65,52.78,0,20.32,0,31.66,0,0,0,0,87.05,0,0,0,0,0,0,0,23.45,0,15.91,0,0,0,0,22.5,6.42,4849.51,0,0,0,1.23,0,0,0,93.87,733.2,14.79,0,0,31.45,0,0
22.1_MSU977,0,0,0,5.88,0,0,0,0,0,0,9.82,1296.89,0,18.28,0,0,1.61,0,0,124.19,0,0,877.64,32.34,14.45,28.62,0,0,0,0,0,1.77,0,445.73,12.52,0,0,62.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.73,42.88,0,0,13.22,0,3.52,0,0,0,0,0,0,0,0,36.7,0,13.98,0,0,0,6.71,0,0,9.39,0,16.52,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,8.09,0,0,1.91,0,0,0,52.83,0,0,0,0,63.97,0,0,14.28,12.81,0,0,0,0,0,0
23.1_MSU977,0,0,0,0,0,0,0,0,0,1.2,0,887.82,0,14.62,0,0,0,0,0,136.6,2.15,0,637.3,45.86,24.62,72.57,0,0,0,0,0,0,7.45,181.46,237.01,0,0,59.59,0,0,7.37,0,6.49,0,0,0,0,0,1.01,8.18,0,67.39,25.59,0,4.4,0,16.13,56.99,23.13,0,5.13,0,0,0,0,0,0,6.39,9.08,0,0,7.05,25.32,0,11.84,0,0,0,66.77,21.64,0,7.14,0,37.94,0,3.54,0,5.86,57.99,0,0,0,0,1.92,0,0,19.07,0,8.89,0,0,0,0,61.13,0,5515.77,0,0,0,0,0,0,0,37.23,408.91,19.97,1.75,0,45.19,0,0
24.1_MSU977,0,0,0,0,0,0,0,0,0,0,23.81,335.57,0,0,0,0,0,0,0,167.68,0,0,831.57,12.46,7.4,69.62,0,0,0,0,0,0,0,366.27,315.29,0,0,52.54,0,0,0,0,0,0,0,0,0,0,0,0,0,50.09,12.47,0,0,0,0,42.75,30.93,0,0,0,0,0,0,1.88,0,0,9.9,0,0,0,26.83,0,22.45,0,0,0,26.01,2.48,0,1.94,0,13.96,0,0,0,0,0,0,0,0,0,0,0,0,10.49,0,0,0,0,0,0,0,0,66.55,0,0,0,0,0,3.24,0,1.05,172.12,4.06,0,0,8.55,0,0
26.1_MSU977,0,0,0,0,0,0,0,0,0,5536.08,94.14,5498.35,0,9.4,0,0,0,0,0,0,0,0,187.31,258.03,21.74,205.98,0,0,0,1.85,0,0,0,1173.43,23.94,0,0,55.97,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,7.09,860.84,6.14,0,0,45.15,50.87,0,0,25.88,0,0,0,0,0,0,0,0,0,0,1514.99,9.64,0,0,13.28,0,11.93,0,0,3.53,0,14.76,0,0,0,0,26.05,0,0,0,0,0,0,0,0,0,8.87,0,0,0,0,0,0,608.47,0,0,0,0,19.78,0,0,21.85,0,9.75,0,0,17.66,0,0
