Family,Genus,1.1_MSU977,12.1_MSU977,13.1_MSU977,14.1_MSU977,15.1_MSU977,17.1_MSU977,22.1_MSU977,23.1_MSU977,24.1_MSU977,26.1_MSU977,28.1_MSU977,31.1_MSU977,32.1_MSU977,33.1_MSU977,35.1_MSU977,37.1_MSU977,39.1_MSU977,4.1_MSU977,5.1_MSU977,9.1_MSU977,10.1_MSU977,11.1_MSU977,16.1_MSU977,18.1_MSU977,19.1_MSU977,2.1_MSU977,20.1_MSU977,21.1_MSU977,25.1_MSU977,29.1r_MSU997,3.1_MSU977,30.1_MSU977,34.1_MSU977,36.1_MSU977,38.1_MSU977,40.1_MSU977,41.1_MSU977,6.1_MSU977,7.1_MSU977,8.1_MSU977,1.2_MSU977,12.2_MSU977,13.2_MSU977,14.2_MSU977,15.2_MSU977,17.2_MSU977,22.2_MSU977,23.2_MSU977,24.2_MSU977,26.2_MSU977,28.2_MSU977,31.2_MSU977,32.2_MSU977,33.2_MSU977,35.2_MSU977,37.2_MSU977,39.2_MSU977,4.2_MSU977,5.2_MSU977,9.2_MSU977,10.2_MSU977,11.2_MSU977,16.2_MSU977,18.2_MSU977,19.2_MSU977,2.2_MSU977,20.2_MSU977,21.2_MSU977,25.2_MSU977,29.2_MSU977,3.2_MSU977,30.2_MSU977,34.2_MSU977,36.2_MSU977,38.2_MSU977,40.2_MSU977,41.2_MSU977,6.2_MSU977,7.2_MSU977,8.2_MSU977,1.5_MSU977,12.5_MSU977,13.5_MSU977,14.5_MSU977,15.5_MSU977,17.5_MSU977,22.5_MSU977,23.5_MSU977,24.5_MSU977,26.5_MSU977,28.5_MSU977,31.5_MSU977,32.5_MSU977,33.5_MSU977,35.5_MSU977,37.5_MSU977,39.5_MSU977,4.5_MSU977,5.5_MSU977,9.5_MSU977,10.5_MSU977,11.5_MSU977,16.5_MSU977,18.5_MSU977,19.5_MSU977,2.5_MSU977,20.5_MSU977,21.5_MSU977,25.5_MSU977,29.5_MSU977,3.5_MSU977,30.5_MSU977,34.5_MSU977,36.5_MSU977,38.5_MSU977,40.5_MSU977,41.5_MSU977,6.5_MSU977,7.5_MSU977,8.5_MSU977,1.7_MSU977,12.7_MSU977,13.7_MSU977,14.7_MSU977,15.7_MSU977,17.7_MSU977,22.7_MSU977,23.7_MSU977,24.7_MSU977,26.7_MSU977,28.7_MSU977,31.7_MSU977,32.7_MSU977,33.7_MSU977,35.7_MSU977,37.7_MSU977,39.7_MSU977,4.7_MSU977,5.7_MSU977,9.7_MSU977,10.7_MSU977,11.7_MSU977,16.7_MSU977,18.7_MSU977,19.7_MSU977,2.7_MSU977,20.7_MSU977,21.7_MSU977,25.7_MSU977,3.7_MSU977,30.7_MSU977,34.7_MSU977,36.7_MSU977,38.7_MSU977,40.7_MSU977,41.7_MSU977,6.7_MSU977,7.7_MSU977,8.7_MSU977
Acholeplasmataceae,Candidatus Phytoplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,3.09,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcaceae,Succiniclasticum,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidithiobacillaceae,Acidithiobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86,0,3.97,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.62,0,3.58,5.03,0,0,0,5.06,5.08,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_u_f,Actinobacteria_u_g,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.23,6.34,0,0,4.41,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_u_f,Thermobispora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,14.16,31.57,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,43.23,38.38,0,0,0,0,0,6.72,0,0,0,0,0,0,0,0,19.4,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcaligenaceae,Taylorella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphaproteobacteria_u_f,Alphaproteobacteria_u_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,1.83,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,11.35,0,0,1.89,0,4.11,0,0,7.47,0,0,0,0,4.06,5.42,0,0,0,0,0,1.84,0,0,9.22,0,58.07,0,0,1.34,0,0,0,0,0,0,4.49,0,0,0,10.95,5.83,2.63,0,9.52,0,2.94,27.08,0,5.66,0,0,0,0,0,0,6.19,0,0,0,0,0,0,6.4,0,0,2.79,0,0,0,0,0,0,0,0,0,14.37,3.17,0,0,1.33,0,0,0,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,19.09,0,0,7.47,0,0,0,5.02
Anaeromyxobacteraceae,Anaeromyxobacter,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,1.72,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,1.37,0,1.16,0,1.3,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0
Atopobiaceae,Atopobium,22.09,0,570.03,0,58.45,89.79,0,1.2,0,5536.08,0,682.32,0,0,0,303.49,1.21,4.26,0,295.58,0,46.14,5.97,1.22,712.56,0,723.99,1329.4,44.11,21.47,0,125.75,385.74,1.52,817.5,44.07,0,1.07,5.43,0,0,0,0,1.48,0,0,0,0,0,29.55,0,32.71,0,0,0,25.59,35.26,0,0,0,0,0,0,0,0,4.91,0,0,8.97,0,0,0,0,0,0,0,16.59,2.64,0,1.3,0,0,0,0,0,2.13,8.44,0,21.07,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,31.82,0,0,44.93,0,36.34,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,12.53,23.06,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0,49.76,0,2.42,0,0,0,0,0,0,0,1.98
Atopobiaceae,Olsenella,7,34.88,79.99,19.61,6.42,346.7,36.7,25.32,26.83,1514.99,0,297.39,21.75,46.35,25.86,29.68,53.17,0,7.63,10.97,16.86,28.03,27.35,34.35,7.16,6.99,51.67,54.37,69.09,124.32,0,116.81,72.57,48.41,318.51,23.33,16.83,0,8.6,6.11,13.93,114.5,3.68,0,62.25,0,11.95,0,0,9.92,0,57.57,0,0,3.57,0,0,0,0,11.92,0,17.31,0,11.17,0,57.94,51.73,66.8,102.45,0,0,0,0,0,6.56,106.59,8.18,0,125.87,0,0,0,0,59,0,0,56.35,10.67,78.48,7.28,0,61.36,0,52.65,10.8,0,57.36,0,0,0,0,0,58.32,0,0,0,6.72,49.92,0,0,0,0,0,0,7.65,0,0,0,130.2,0,20.14,0,47.5,11.98,57.92,18.08,0,49.22,0,29.81,3.52,53.93,0,7.36,0,0,0,16.14,0,18.15,0,4.2,15.92,0,0,0,109.31,54.67,0,0,0,0,9.93,0,12.31,61.25,0,51.64,0
