Sample Name,assembler,N50 (Kbp),N75 (Kbp),L50 (K),L75 (K),Largest contig (Kbp),Length (Mbp),Misassemblies,Mismatches/100kbp,Indels/100kbp,Genome Fraction
1.1_S68_L006,MEGAHIT,0.8,0.6,10.3,19666,14.8,24.9,63,2145.16,56.64,0.01
1.1_S68_L006,MetaSPADES,0.8,0.6,9.2,18040,18.4,23.5,34,1681.98,48.43,0.01
1.2_S69_L006,MEGAHIT,0.8,0.6,4.6,8961,71.4,11.9,24,2846.29,64.26,0
1.2_S69_L006,MetaSPADES,0.8,0.6,4.5,9065,63.7,12.2,15,2041.02,65.14,0
1.5_S70_L006,MEGAHIT,0.7,0.6,7.8,14754,39.7,18.2,43,3374.74,80.73,0
1.5_S70_L006,MetaSPADES,0.7,0.6,7.2,13907,40.3,17.7,11,2102.75,54.68,0
1.7_S71_L006,MEGAHIT,0.9,0.6,4.1,8869,54.5,14.1,16,3528.29,89.2,0
1.7_S71_L006,MetaSPADES,0.9,0.6,3.5,8026,33.9,13.5,15,2685.51,79.13,0
10.1_S104_L006,MEGAHIT,0.7,0.6,5.6,10069,14.1,11.2,60,2275.65,53.06,0.01
10.1_S104_L006,MetaSPADES,0.7,0.6,4.7,8649,23.9,9.7,42,2035.24,54.71,0.01
10.2_S105_L006,MEGAHIT,0.7,0.6,8,15111,43.6,18.6,50,1997.57,46.74,0.01
10.2_S105_L006,MetaSPADES,0.7,0.6,7.3,14172,43.6,17.9,25,1592.25,48.1,0.01
10.5_S106_L006,MEGAHIT,0.7,0.6,5.1,9552,44.9,11.6,33,2487.41,40.53,0.01
10.5_S106_L006,MetaSPADES,0.7,0.6,4.8,9312,44.9,11.7,16,1758.4,42.62,0.01
10.7_S107_L006,MEGAHIT,0.7,0.6,4.1,7757,23.6,9.3,23,4210.85,77.16,0
10.7_S107_L006,MetaSPADES,0.7,0.6,3.8,7312,27.1,9,8,2287.79,90.16,0
11.1_S108_L006,MEGAHIT,0.9,0.6,4.7,10101,35.4,15.6,82,2567.9,78.58,0.02
11.1_S108_L006,MetaSPADES,0.9,0.6,3.9,8746,55.1,14.3,52,2488.93,73.89,0.02
11.2_S109_L006,MEGAHIT,0.8,0.6,7.3,14349,59.1,19.5,98,1813.11,54.31,0.02
11.2_S109_L006,MetaSPADES,0.8,0.6,6.7,13632,62.3,19.2,49,1587.98,56.01,0.02
11.5_S110_L006,MEGAHIT,0.8,0.6,6.3,11867,31.9,14.8,64,1762.77,50.79,0.02
11.5_S110_L006,MetaSPADES,0.8,0.6,5.8,11340,32.5,14.5,41,1568.91,46.96,0.02
11.7_S111_L006,MEGAHIT,0.7,0.6,4.8,9041,32.6,11.2,19,4901,46.47,0
11.7_S111_L006,MetaSPADES,0.8,0.6,4.6,8959,32.6,11.5,10,2501.67,61.09,0
12.1_S112_L006,MEGAHIT,0.9,0.7,7.3,15949,73.9,26.3,148,2033.35,67.44,0.05
12.1_S112_L006,MetaSPADES,1,0.7,6.2,14058,76.1,24.6,80,1894.67,65.56,0.05
12.2_S113_L006,MEGAHIT,0.8,0.6,9.1,17645,39.4,22.8,85,2156.14,55.81,0.02
12.2_S113_L006,MetaSPADES,0.8,0.6,8.4,16685,39.3,22.2,62,1862.81,53.51,0.02
12.5_S114_L006,MEGAHIT,0.8,0.6,5.6,10720,17.5,13.6,54,2022.06,47.93,0.01
12.5_S114_L006,MetaSPADES,0.8,0.6,5.2,10175,29.8,13.4,32,1640.57,51.89,0.01
12.7_S115_L006,MEGAHIT,0.8,0.6,5.5,10796,23.2,14.4,22,4378.9,93.7,0
12.7_S115_L006,MetaSPADES,0.8,0.6,5.2,10622,39.3,14.6,14,2192.15,56.27,0
13.1_S116_L006,MEGAHIT,0.8,0.6,8.1,14934,10.3,18.2,60,2797.93,72.44,0.01
13.1_S116_L006,MetaSPADES,0.8,0.6,6.5,12217,13.4,15.3,37,2438.93,71.34,0.01
13.2_S117_L006,MEGAHIT,0.8,0.6,6.2,12232,42,16.1,53,2055.87,50.29,0.01
13.2_S117_L006,MetaSPADES,0.8,0.6,5.7,11632,43.1,15.7,28,1636.03,47.1,0.01
13.5_S118_L006,MEGAHIT,0.7,0.6,10.5,19524,49.2,23.5,59,2112.52,45.51,0.01
13.5_S118_L006,MetaSPADES,0.7,0.6,9.6,18394,49.2,22.8,38,1652.96,50.21,0.01
13.7_S119_L006,MEGAHIT,0.7,0.6,7.3,13763,28.9,16.9,27,4271.96,79.99,0
13.7_S119_L006,MetaSPADES,0.7,0.6,6.4,12456,28.4,15.9,8,2339.41,78.57,0
14.1_S120_L006,MEGAHIT,0.8,0.6,10,19368,96.4,25.3,80,1527.23,44.12,0.02
14.1_S120_L006,MetaSPADES,0.8,0.6,8.2,16592,49.9,22.8,47,1326.92,44.9,0.02
14.2_S121_L006,MEGAHIT,0.8,0.6,8.6,16856,38.6,22.5,59,1964.35,47.55,0.01
14.2_S121_L006,MetaSPADES,0.8,0.6,7.8,15763,33.7,21.7,27,1599.7,47.73,0.01
14.5_S122_L006,MEGAHIT,0.8,0.6,6.4,12069,52.6,15.2,42,2033.15,40.78,0.01
14.5_S122_L006,MetaSPADES,0.8,0.6,5.9,11393,48.1,14.9,26,1534.52,44.01,0.01
14.7_S123_L006,MEGAHIT,0.7,0.6,5.4,10222,28.7,12.6,34,4445.33,80.51,0
14.7_S123_L006,MetaSPADES,0.7,0.6,4.9,9608,28.8,12.2,11,2244.01,53.53,0
15.1_S124_L006,MEGAHIT,0.7,0.6,8.5,15267,19.5,16.8,52,2406.09,56.83,0.01
15.1_S124_L006,MetaSPADES,0.7,0.6,6.7,12195,15.5,13.6,26,1731.72,53.18,0.01
15.2_S125_L006,MEGAHIT,0.7,0.6,8.1,15497,62.2,19.4,72,1825.15,51.89,0.02
15.2_S125_L006,MetaSPADES,0.7,0.6,7.5,14816,46.3,19,41,1528.9,47.95,0.02
15.5_S126_L006,MEGAHIT,0.8,0.6,4.9,9558,41.5,12.9,48,2000.56,48.22,0.01
15.5_S126_L006,MetaSPADES,0.8,0.6,4.4,9050,41.3,12.8,30,1592.71,47.52,0.01
15.7_S127_L006,MEGAHIT,0.8,0.6,6.6,13424,61.9,19.2,84,1846.87,51.63,0.02
15.7_S127_L006,MetaSPADES,0.8,0.6,6.2,13075,61.8,19.4,47,1629.04,51.91,0.02
16.1_S128_L006,MEGAHIT,0.8,0.6,5.3,11040,131.5,15.9,108,2180.85,69.58,0.04
16.1_S128_L006,MetaSPADES,0.8,0.6,4.7,10109,94.6,15,89,1941.88,69.25,0.04
16.2_S129_L006,MEGAHIT,0.8,0.6,6.9,13515,97.7,18,81,1968.71,52.59,0.01
16.2_S129_L006,MetaSPADES,0.8,0.6,6.5,13160,98.2,18.1,43,1555.35,51.15,0.02
16.5_S130_L006,MEGAHIT,0.7,0.6,4.9,9073,35.5,10.6,34,2246.6,48.49,0.01
16.5_S130_L006,MetaSPADES,0.7,0.6,4.8,8945,32.2,10.7,23,1725.43,45.99,0.01
16.7_S131_L006,MEGAHIT,0.8,0.6,5.7,10961,29.4,13.9,36,3943.54,53.34,0
16.7_S131_L006,MetaSPADES,0.8,0.6,5.1,10104,24.9,13.2,17,1989.8,43.02,0
