sequence_id,assembler,N50 (Kbp),N75 (Kbp),L50 (K),L75 (K),Largest contig (Kbp),Length (Mbp)
1.1_S68_L006,MEGAHIT,0.8,0.6,9.8,18638,14.8,23.5
1.1_S68_L006,MetaSPADES,0.8,0.6,8.7,17140,18.4,22.3
1.2_S69_L006,MEGAHIT,0.8,0.6,4.3,8524,71.4,11.4
1.2_S69_L006,MetaSPADES,0.8,0.6,4.3,8698,63.7,11.8
1.5_S70_L006,MEGAHIT,0.7,0.6,7.6,14317,39.7,17.7
1.5_S70_L006,MetaSPADES,0.7,0.6,7,13603,40.3,17.3
1.7_S71_L006,MEGAHIT,0.9,0.6,4,8658,54.5,13.7
1.7_S71_L006,MetaSPADES,0.9,0.6,3.4,7879,33.9,13.3
10.1_S104_L006,MEGAHIT,0.7,0.6,5,9058,14.1,9.9
10.1_S104_L006,MetaSPADES,0.7,0.6,4.2,7694,23.9,8.6
10.2_S105_L006,MEGAHIT,0.7,0.6,7.4,13979,43.6,17.1
10.2_S105_L006,MetaSPADES,0.7,0.6,6.8,13216,43.6,16.5
10.5_S106_L006,MEGAHIT,0.7,0.6,4.7,8957,44.9,11
10.5_S106_L006,MetaSPADES,0.7,0.6,4.5,8814,44.9,11.1
10.7_S107_L006,MEGAHIT,0.7,0.6,4,7493,23.6,9
10.7_S107_L006,MetaSPADES,0.7,0.6,3.7,7154,27.1,8.8
11.1_S108_L006,MEGAHIT,0.8,0.6,5,9756,31.7,13.1
11.1_S108_L006,MetaSPADES,0.8,0.6,4.3,8634,33.2,12
11.2_S109_L006,MEGAHIT,0.8,0.6,6.6,12981,59.1,17.3
11.2_S109_L006,MetaSPADES,0.8,0.6,6.2,12450,62.3,17.1
11.5_S110_L006,MEGAHIT,0.7,0.6,5.6,10581,31.9,12.9
11.5_S110_L006,MetaSPADES,0.7,0.6,5.3,10257,32.5,12.7
11.7_S111_L006,MEGAHIT,0.7,0.6,4.6,8818,32.6,10.9
11.7_S111_L006,MetaSPADES,0.8,0.6,4.5,8819,32.6,11.3
12.1_S112_L006,MEGAHIT,0.9,0.6,7.1,14466,33.3,21.5
12.1_S112_L006,MetaSPADES,0.9,0.6,6.1,12871,36,20
12.2_S113_L006,MEGAHIT,0.8,0.6,8.3,16088,39.4,20.8
12.2_S113_L006,MetaSPADES,0.8,0.6,7.6,15282,39.3,20.3
12.5_S114_L006,MEGAHIT,0.8,0.6,5.1,9675,17.5,12.2
12.5_S114_L006,MetaSPADES,0.8,0.6,4.7,9304,29.8,12.2
