Name	Cohort	abund_jaccard-X	abund_jaccard-Y	abund_jaccard-Z	bray_curtis-X	bray_curtis-Y	bray_curtis-Z
31.1_MSU977	A_Day -1	-0.402304001	0.041121409	-0.002885166	-0.303032656	-0.126029476	0.020765606
32.1_MSU977	A_Day -1	-0.10360649	-0.080051963	-0.056101387	-0.032594024	-0.019433518	0.00033796
16.1_MSU977	B_Day -1	-0.303811761	0.015720622	-0.055808599	-0.336533901	-0.012016603	-0.034531205
20.2_MSU977	B_Week 1	0.141868144	-0.122509843	-0.091127033	0.024292365	-0.004027333	-0.177438834
19.5_MSU977	B_Week 5	0.224597565	-0.02708535	0.004464195	0.187271838	0.023041072	-0.067544235
4.1_MSU977	A_Day -1	-0.177150769	-0.162444607	-0.055898121	-0.231272979	-0.061804264	-0.143490953
2.1_MSU977	B_Day -1	-0.087287226	-0.064778951	-0.066657005	-0.123612608	-0.054242432	-0.071798721
6.1_MSU977	B_Day -1	-0.011285564	-0.174663431	-0.012252904	0.005334363	-0.067898998	-0.124236287
30.2_MSU977	B_Week 1	0.069916614	0.193559427	0.12184492	0.027522784	0.202278582	0.242850276
16.2_MSU977	B_Week 1	0.158570918	0.014864272	0.032405815	0.127703591	0.059714364	0.011335186
21.1_MSU977	B_Day -1	-0.343398631	-0.021727759	-0.010529751	-0.282622947	-0.108974828	-0.042699663
41.1_MSU977	B_Day -1	-0.351583641	-0.029647962	0.039190058	-0.285707027	-0.190281672	0.063739975
19.7_MSU977	B_Week 9	0.047118675	-0.227986782	0.035551531	0.084220622	-0.12930916	-0.248773366
23.7_MSU977	A_Week 9	-0.098427808	-0.062761565	0.173620148	0.042465791	-0.19955764	0.07954544
18.2_MSU977	B_Week 1	0.066765558	0.020951105	-0.102821587	-0.036456496	0.167586497	-0.031907437
21.7_MSU977	B_Week 9	0.048614317	-0.114385266	0.064180879	0.133035974	-0.123911327	-0.028802188
24.1_MSU977	A_Day -1	-0.130598363	0.092492428	0.05458029	-0.137362606	0.060284419	0.107121469
14.1_MSU977	A_Day -1	-0.337310276	-0.019355175	0.013914156	-0.276992486	-0.133018795	-0.019736059
19.1_MSU977	B_Day -1	-0.068768751	-0.095079554	0.112850677	0.059238164	-0.186116144	0.007785245
6.2_MSU977	B_Week 1	0.202397863	0.00048668	0.072994839	0.196621656	-0.061720088	0.002987594
4.5_MSU977	A_Week 5	0.177348032	-0.050573254	-0.04653979	0.082132852	0.130912967	-0.131998998
13.1_MSU977	A_Day -1	-0.286146183	-0.001156487	-0.023613278	-0.275924264	-0.10237984	0.003863282
37.2_MSU977	A_Week 1	0.135766606	0.143339418	0.052681729	0.071401636	0.027470994	0.104991421
1.7_MSU977	A_Week 9	-0.037078699	0.171389626	0.049878361	0.008508734	-0.006989877	-0.025153172
7.1_MSU977	B_Day -1	-0.355168236	-0.065097681	-0.026917874	-0.402601004	-0.061923569	-0.023823872
