sample_ID,ID,sequence_id,species,herd_type,breed,sample_type,study_ID,cow_ID,sampling,Group,Treatment,Assigment,Time_tx,Cohort,Due_date,Suggested_dry_date,Block,enrolled,collection_date,days_tx,GN_sample_type,GN_CFU.g,GN_Amp_CFU.g,GN_Cef_CFU.g,GN_Amp_per,GN_Cef_per,GP_sample_type,GP_CFU.g,GP_Amp_CFU.g,GP_Cef_CFU.g,GP_Amp_per,GP_Cef_per,Metagenome,DNAext_date,DNA_volume_ul,Qubit_ng.ul,Nanodrop_ng.ul,X260.280,X260.230,DNAext_date2,DNA_volume_ul2,Qubit_ng.ul2,Nanodrop_ng.ul2,X260.280_2,X260.230_2,uidA,eaeA,stx2,stx1,Campy16S,Campy200bp,DNA_ID,Name,N16sequence
1.1_MSU977,MA001.1,1.1_S68_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA001,5260,1,A,Control,ORBESEAL¨ only ,Day -1,A Day -1,8/1/19,5/29/19,1,Yes,5/28/19,-1,Frozen,110594.8,100,0,0.09,0,Frozen,1190000,6850,304000,0.58,25.6,Yes,6/29/20,50,117,157,1.79,1.45,6/26/20,50,40.5,199.2,1.95,2.16,+,,,NA,NA,NA,1.1,1.1_MSU977,941
1.2_MSU977,MA001.2,1.2_S69_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA001,5260,2,A,Control,ORBESEAL¨ only ,Week 1,A Week 1,8/1/19,5/29/19,1,Yes,6/5/19,7,Frozen,62676.06,3050,0,4.87,0,Frozen,3110000,14200,509000,0.46,16.35,Yes,7/22/20,100,64.8,78.4,1.83,0.79,,NA,NA,NA,NA,NA,f,,,NA,+,+,1.2,1.2_MSU977,711
1.5_MSU977,MA001.5,1.5_S70_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA001,5260,5,A,Control,ORBESEAL¨ only ,Week 5,A Week 5,8/1/19,5/29/19,1,Yes,7/3/19,35,Frozen,354166.67,16.67,0,0,0,Frozen,NA,NA,NA,NA,NA,Yes,7/24/20,75,91.8,97.5,1.78,1.84,,NA,NA,NA,NA,NA,+,,,NA,NA,NA,1.5,1.5_MSU977,1077
1.7_MSU977,MA001.7,1.7_S71_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA001,5260,7,A,Control,ORBESEAL¨ only ,Week 9,A Week 9,8/1/19,5/29/19,1,Yes,7/31/19,63,Fresh,2394736.84,43429.84,108.46,1.81,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,54.8,73.8,1.85,1.84,,NA,NA,NA,NA,NA,+,,,NA,NA,NA,1.7,1.7_MSU977,451
10.1_MSU977,MA010.1,10.1_S104_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA010,5118,1,B,Antibiotic,SPECTRAMAST¨ÊDC and ORBESEAL¨,Day -1,B Day -1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Frozen,152416.36,166.67,0,0.11,0,Frozen,581000,23100,230000,3.98,39.68,Yes,7/23/20,75,65.6,85.4,1.77,1.35,,NA,NA,NA,NA,NA,+,,,NA,NA,NA,10.1,10.1_MSU977,845
10.2_MSU977,MA010.2,10.2_S105_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA010,5118,2,B,Antibiotic,SPECTRAMAST¨ÊDC and ORBESEAL¨,Week 1,B Week 1,9/5/19,7/3/19,2,Yes,7/10/19,7,Frozen,99109.13,366.67,0,0.37,0,Frozen,329000,5280,55600,1.6,16.89,Yes,7/24/20,75,112,121,1.83,1.37,,NA,NA,NA,NA,NA,+,,,NA,NA,NA,10.2,10.2_MSU977,1043
10.5_MSU977,MA010.5,10.5_S106_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA010,5118,5,B,Antibiotic,SPECTRAMAST¨ÊDC and ORBESEAL¨,Week 5,B Week 5,9/5/19,7/3/19,2,Yes,8/7/19,35,Fresh,142964.07,0,0,0,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,93.8,100.7,1.83,2.12,,NA,NA,NA,NA,NA,+,,,NA,NA,NA,10.5,10.5_MSU977,892
10.7_MSU977,MA010.7,10.7_S107_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA010,5118,7,B,Antibiotic,SPECTRAMAST¨ÊDC and ORBESEAL¨,Week 9,B Week 9,9/5/19,7/3/19,2,Yes,9/4/19,63,Fresh,1207070.71,14642.08,50,1.21,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,116,130.6,1.78,1.1,,NA,NA,NA,NA,NA,+,,,NA,NA,NA,10.7,10.7_MSU977,738
11.1_MSU977,MA011.1,11.1_S108_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA011,4993,1,B,Antibiotic,SPECTRAMAST¨ÊDC and ORBESEAL¨,Day -1,B Day -1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Frozen,561403.51,16.67,0,0,0,Frozen,1400000,16700,712000,1.19,50.7,Yes,7/23/20,75,75.2,97.3,1.76,1.52,,NA,NA,NA,NA,NA,+,,f,NA,NA,NA,11.1,11.1_MSU977,458
11.2_MSU977,MA011.2,11.2_S109_L006,Bos Taurus,Dairy,Holstein,Fecal grab,MA011,4993,2,B,Antibiotic,SPECTRAMAST¨ÊDC and ORBESEAL¨,Week 1,B Week 1,9/5/19,7/3/19,2,Yes,7/10/19,7,Frozen,201672.86,35600,0,17.65,0,Frozen,131000,15400,71800,11.71,54.79,Yes,7/24/20,75,47,59.6,1.8,1.46,,NA,NA,NA,NA,NA,+,,,NA,NA,NA,11.2,11.2_MSU977,863
