sample_ID,Sequencing_ID,Name,study_ID,cow_ID,Group,Treatment,Cohort,sampling,Due_date,Suggested_dry_date,Block,enrolled,collection_date,days_tx,Time_tx,GN_sample_type,GN_CFU.g,GN_Amp_CFU.g,GN_Cef_CFU.g,GN_Amp_per,GN_Cef_per,GP_sample_type,GP_CFU.g,GP_Amp_CFU.g,GP_Cef_CFU.g,GP_Amp_per,GP_Cef_per,Metagenome,DNAext_date,DNA_volume_ul,Qubit_ng.ul,Nanodrop_ng.ul,X260.280,X260.230,DNAext_date2,DNA_volume_ul2,Qubit_ng.ul2,Nanodrop_ng.ul2,X260.280_2,X260.230_2,uidA,eaeA,stx2,stx1,Campy16S,Campy200bp
MA001.1,1.1,1.1_MSU977,MA001,5260,A,Control,A Day -1,1,8/1/19,5/29/19,1,Yes,5/28/19,-1,Day -1,Frozen,110594.8,100,0,0.09,0,Frozen,1190000,6850,304000,0.58,25.6,Yes,6/29/20,50,117,157,1.79,1.45,6/26/20,50,40.5,199.2,1.95,2.16,+,,,NA,NA,NA
MA001.2,1.2,1.2_MSU977,MA001,5260,A,Control,A Week 1,2,8/1/19,5/29/19,1,Yes,6/5/19,7,Week 1,Frozen,62676.06,3050,0,4.87,0,Frozen,3110000,14200,509000,0.46,16.35,Yes,7/22/20,100,64.8,78.4,1.83,0.79,,NA,NA,NA,NA,NA,f,,,NA,+,+
MA001.3,1.3,1.3_MSU977,MA001,5260,A,Control,A Week 2,3,8/1/19,5/29/19,1,Yes,6/12/19,14,Week 2,Frozen,293402.78,17400,12.5,5.93,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA001.4,1.4,1.4_MSU977,MA001,5260,A,Control,A Week 3,4,8/1/19,5/29/19,1,Yes,6/19/19,21,Week 3,Frozen,467013.89,216.67,0,0.05,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA001.5,1.5,1.5_MSU977,MA001,5260,A,Control,A Week 5,5,8/1/19,5/29/19,1,Yes,7/3/19,35,Week 5,Frozen,354166.67,16.67,0,0,0,Frozen,NA,NA,NA,NA,NA,Yes,7/24/20,75,91.8,97.5,1.78,1.84,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA001.6,1.6,1.6_MSU977,MA001,5260,A,Control,A Week 7,6,8/1/19,5/29/19,1,Yes,7/17/19,49,Week 7,Fresh,523437.5,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA001.7,1.7,1.7_MSU977,MA001,5260,A,Control,A Week 9,7,8/1/19,5/29/19,1,Yes,7/31/19,63,Week 9,Fresh,2394736.84,43429.84,108.46,1.81,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,54.8,73.8,1.85,1.84,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA002.1,2.1,2.1_MSU977,MA002,5145,B,Antibiotic,B Day -1,1,8/1/19,5/29/19,1,Yes,5/28/19,-1,Day -1,Frozen,251736.11,50,0,0.02,0,Frozen,727000,6950,89200,0.96,12.27,Yes,7/22/20,100,70.4,86.5,1.78,1.67,6/26/20,50,23.5,105.4,1.97,2.11,+,f,,NA,NA,NA
MA002.2,2.2,2.2_MSU977,MA002,5145,B,Antibiotic,B Week 1,2,8/1/19,5/29/19,1,Yes,6/5/19,7,Week 1,Frozen,40563.99,0,0,0,0,Frozen,189000,8460,73400,4.49,38.92,Yes,7/23/20,75,63.4,78.2,1.8,1.46,,NA,NA,NA,NA,NA,-,,,NA,+,+
MA002.3,2.3,2.3_MSU977,MA002,5145,B,Antibiotic,B Week 2,3,8/1/19,5/29/19,1,Yes,6/12/19,14,Week 2,Frozen,227430.56,21200,0,9.32,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA002.4,2.4,2.4_MSU977,MA002,5145,B,Antibiotic,B Week 3,4,8/1/19,5/29/19,1,Yes,6/19/19,21,Week 3,Frozen,64788.73,183.33,0,0.28,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA002.5,2.5,2.5_MSU977,MA002,5145,B,Antibiotic,B Week 5,5,8/1/19,5/29/19,1,Yes,7/3/19,35,Week 5,Frozen,44821.83,116.67,0,0.26,0,Frozen,NA,NA,NA,NA,NA,Yes,7/24/20,75,79.6,89.5,1.87,1.67,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA002.6,2.6,2.6_MSU977,MA002,5145,B,Antibiotic,B Week 7,6,8/1/19,5/29/19,1,Yes,7/17/19,49,Week 7,Fresh,929687.5,704.99,0,0.08,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA002.7,2.7,2.7_MSU977,MA002,5145,B,Antibiotic,B Week 9,7,8/1/19,5/29/19,1,Yes,7/31/19,63,Week 9,Fresh,4171052.63,433.84,0,0.01,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,118,129.2,1.83,0.39,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA003.1,3.1,3.1_MSU977,MA003,4879,B,Antibiotic,B Day -1,1,8/14/19,5/29/19,1,Yes,5/28/19,-1,Day -1,Frozen,574561.4,16.67,0,0,0,Frozen,354000,9000,45400,2.55,12.84,Yes,7/22/20,100,102,112.9,1.81,1.87,6/26/20,50,29.3,173.7,1.97,2.35,+,,,NA,NA,NA
MA003.2,3.2,3.2_MSU977,MA003,4879,B,Antibiotic,B Week 1,2,8/14/19,5/29/19,1,Yes,6/5/19,7,Week 1,Frozen,222222.22,0,0,0,0,Frozen,101000,7250,47000,7.18,46.59,Yes,7/23/20,75,67.8,81.9,1.79,1.58,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA003.3,3.3,3.3_MSU977,MA003,4879,B,Antibiotic,B Week 2,3,8/14/19,5/29/19,1,Yes,6/12/19,14,Week 2,Frozen,361111.11,23800,0,6.59,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA003.4,3.4,3.4_MSU977,MA003,4879,B,Antibiotic,B Week 3,4,8/14/19,5/29/19,1,Yes,6/19/19,21,Week 3,Frozen,868421.05,600,0,0.07,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA003.5,3.5,3.5_MSU977,MA003,4879,B,Antibiotic,B Week 5,5,8/14/19,5/29/19,1,Yes,7/3/19,35,Week 5,Frozen,260416.67,3716.67,0,1.43,0,Frozen,NA,NA,NA,NA,NA,Yes,7/24/20,75,109.2,133.3,1.79,0.96,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA003.6,3.6,3.6_MSU977,MA003,4879,B,Antibiotic,B Week 7,6,8/14/19,5/29/19,1,Yes,7/17/19,49,Week 7,Fresh,656250,3904.56,921.91,0.59,0.14,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA003.7,3.7,3.7_MSU977,MA003,4879,B,Antibiotic,B Week 9,7,8/14/19,5/29/19,1,Yes,7/31/19,63,Week 9,Fresh,3736842.11,488.07,0,0.01,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,118,124.4,1.86,2,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA004.1,4.1,4.1_MSU977,MA004,5025,A,Control,A Day -1,1,8/1/19,5/29/19,1,Yes,5/28/19,-1,Day -1,Frozen,1048245.61,1500,0,0.14,0,Frozen,245000,6500,44500,2.65,18.18,Yes,7/22/20,100,64.8,83,1.81,0.59,6/26/20,50,17.9,221.9,1.87,2.12,+,,,NA,NA,NA
MA004.2,4.2,4.2_MSU977,MA004,5025,A,Control,A Week 1,2,8/1/19,5/29/19,1,Yes,6/5/19,7,Week 1,Frozen,361111.11,50,0,0.01,0,Frozen,270000,11100,55800,4.11,20.64,Yes,7/23/20,75,70.8,84.5,1.82,0.8,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA004.3,4.3,4.3_MSU977,MA004,5025,A,Control,A Week 2,3,8/1/19,5/29/19,1,Yes,6/12/19,14,Week 2,Frozen,413194.44,61200,0,14.81,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA004.4,4.4,4.4_MSU977,MA004,5025,A,Control,A Week 3,4,8/1/19,5/29/19,1,Yes,6/19/19,21,Week 3,Frozen,192708.33,500,0,0.26,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA004.5,4.5,4.5_MSU977,MA004,5025,A,Control,A Week 5,5,8/1/19,5/29/19,1,Yes,7/3/19,35,Week 5,Frozen,92007.43,50,0,0.05,0,Frozen,NA,NA,NA,NA,NA,Yes,7/24/20,75,86.4,90,1.81,1.58,,NA,NA,NA,NA,NA,+,,f,NA,NA,NA
MA004.6,4.6,4.6_MSU977,MA004,5025,A,Control,A Week 7,6,8/1/19,5/29/19,1,Yes,7/17/19,49,Week 7,Fresh,1414062.5,596.53,0,0.04,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA004.7,4.7,4.7_MSU977,MA004,5025,A,Control,A Week 9,7,8/1/19,5/29/19,1,Yes,7/31/19,63,Week 9,Fresh,2763157.89,938596.49,0,33.97,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,95,104.3,1.82,0.4,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA004.8,4.8,4.8_MSU977,MA004,5025,A,Control,A Week 11,8,8/1/19,5/29/19,1,Yes,8/15/19,78,Week 11,Fresh,1131578.95,121747.21,0,10.76,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA005.1,5.1,5.1_MSU977,MA005,5031,A,Control,A Day -1,1,8/10/19,5/29/19,1,Yes,5/28/19,-1,Day -1,Frozen,820175.44,66.67,0,0.01,0,Frozen,909000,5160,241000,0.57,26.55,Yes,7/7/20,50,116,178.9,1.82,1.51,6/26/20,50,10.6,74.2,1.86,1.75,+,high,,NA,NA,NA
MA005.2,5.2,5.2_MSU977,MA005,5031,A,Control,A Week 1,2,8/10/19,5/29/19,1,Yes,6/5/19,7,Week 1,Frozen,194444.44,150,0,0.08,0,Frozen,7580000,5820,74100,0.08,0.98,Yes,7/23/20,75,102,119.9,1.77,1.52,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA005.3,5.3,5.3_MSU977,MA005,5031,A,Control,A Week 2,3,8/10/19,5/29/19,1,Yes,6/12/19,14,Week 2,Frozen,144097.22,68000,0,47.19,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA005.4,5.4,5.4_MSU977,MA005,5031,A,Control,A Week 3,4,8/10/19,5/29/19,1,Yes,6/19/19,21,Week 3,Frozen,781250,9000,0,1.15,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA005.5,5.5,5.5_MSU977,MA005,5031,A,Control,A Week 5,5,8/10/19,5/29/19,1,Yes,7/3/19,35,Week 5,Frozen,809027.78,316.67,0,0.04,0,Frozen,NA,NA,NA,NA,NA,Yes,7/24/20,75,98.4,101.5,1.83,1.97,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA005.6,5.6,5.6_MSU977,MA005,5031,A,Control,A Week 7,6,8/10/19,5/29/19,1,Yes,7/17/19,49,Week 7,Fresh,1453125,2874.19,54.23,0.2,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
