"Label","id","Abundance","Type","Class","Gene"
"2024 Branch",1,0,"ARG","Aminoglycoside","2024 Branch"
"2429 Branch",2,0,"ARG","Other","2429 Branch"
"a 2394 Branch",3,0,"ARG","Aminoglycoside","a 2394 Branch"
"aac6 lm",4,0,"ARG","Aminoglycoside","aac6 lm"
"aadA9",5,0,"ARG","Aminoglycoside","aadA9"
"aadD",6,0,"ARG","Aminoglycoside","aadD"
"acrD",7,0,"ARG","MDR","acrD"
"acrE",8,701.05,"ARG","MDR","acrE"
"acrF",9,1032.44,"ARG","MDR","acrF"
"acrS",10,596.64,"ARG","MDR","acrS"
"ant6 Ib",11,1484.74,"ARG","Aminoglycoside","ant6 Ib"
"aph3 III",12,1369.83,"ARG","Aminoglycoside","aph3 III"
"aph6 Id",13,0,"ARG","Aminoglycoside","aph6 Id"
"arnA",14,1282.8,"ARG","Polymyxin","arnA"
"bacA",15,3951.08,"ARG","Bacitracin","bacA"
"baeR",16,0,"ARG","MDR","baeR"
"baeS",17,451.5,"ARG","MDR","baeS"
"bcrA",18,0,"ARG","Bacitracin","bcrA"
"bla 1029 Branch",19,0,"ARG","Beta-lactam","bla 1029 Branch"
"bla 1030 Branch",20,0,"ARG","Beta-lactam","bla 1030 Branch"
"blaACI 1",21,40511.4,"ARG","Beta-lactam","blaACI 1"
"blaAmpC",22,1158.34,"ARG","Beta-lactam","blaAmpC"
"blaAmpH",23,1749.77,"ARG","Beta-lactam","blaAmpH"
"blaCMY 111",24,0,"ARG","Beta-lactam","blaCMY 111"
"blaCMY 27",25,4329.24,"ARG","Beta-lactam","blaCMY 27"
"blaCMY 32",26,0,"ARG","Beta-lactam","blaCMY 32"
"bmr",27,0,"ARG","MDR","bmr"
"catB4",28,0,"ARG","Phenicol","catB4"
"cfxA 2366",29,39694.32,"ARG","Beta-lactam","cfxA 2366"
"cfxA 2367",30,62364.79,"ARG","Beta-lactam","cfxA 2367"
"cfxA2",31,6834.41,"ARG","Beta-lactam","cfxA2"
"cfxA3",32,2394.6,"ARG","Beta-lactam","cfxA3"
"cfxA6",33,42116.69,"ARG","Beta-lactam","cfxA6"
"clbC",34,1279.69,"ARG","Macrolide","clbC"
"cpxA",35,2314.06,"ARG","MDR","cpxA"
