"Label","Target","Correlation","p","Type"
"rteC","traA",0.792270572875513,3.1289524722089e-05,"undirected"
"rteC","Plasmid 38606113",0.792270572875513,3.1289524722089e-05,"undirected"
"traA","Plasmid 38606113",1,0,"undirected"
"2024 Branch","aac6 lm",1,0,"undirected"
"acrE","acrF",0.925971565510704,4.83690110186785e-09,"undirected"
"rteC","ant6 Ib",0.792270572875513,3.1289524722089e-05,"undirected"
"traA","ant6 Ib",1,0,"undirected"
"Plasmid 38606113","ant6 Ib",1,0,"undirected"
"acrE","arnA",0.930004315822508,2.96566105006946e-09,"undirected"
"acrF","arnA",0.82893899644485,6.28749994491251e-06,"undirected"
"tnp","bacA",0.938228857019419,9.92596227433751e-10,"undirected"
"ompA","cpxA",0.797672643306852,2.52136440246353e-05,"undirected"
"acrE","crp",0.930004315822508,2.96566105006946e-09,"undirected"
"acrF","crp",0.82893899644485,6.28749994491251e-06,"undirected"
"arnA","crp",1,0,"undirected"
"int","emrB",0.772403770491314,6.5807536547613e-05,"undirected"
"ompA","emrK",0.851158872950276,1.95808329905844e-06,"undirected"
"cpxA","emrK",0.873043560733173,5.08756204942173e-07,"undirected"
"acrE","emrY",0.995914176921096,0,"undirected"
"acrF","emrY",0.930104140662103,2.92889579256439e-09,"undirected"
"arnA","emrY",0.893013089567202,1.17600552407282e-07,"undirected"
"crp","emrY",0.893013089567202,1.17600552407282e-07,"undirected"
"baeR","H NS",0.942807358146915,5.04781549892641e-10,"undirected"
"bmr","l 2009 Branch",1,0,"undirected"
"tnp","marA",0.938228857019419,9.92596227433751e-10,"undirected"
"bacA","marA",1,0,"undirected"
"int","mdtA",0.772403770491314,6.5807536547613e-05,"undirected"
"emrB","mdtA",1,0,"undirected"
"acrE","mdtB",0.930004315822508,2.96566105006946e-09,"undirected"
"acrF","mdtB",0.82893899644485,6.28749994491251e-06,"undirected"
"arnA","mdtB",1,0,"undirected"
"crp","mdtB",1,0,"undirected"
"emrY","mdtB",0.893013089567202,1.17600552407282e-07,"undirected"
"rteC","mdtC",0.792270572875513,3.1289524722089e-05,"undirected"
"traA","mdtC",1,0,"undirected"
"Plasmid 38606113","mdtC",1,0,"undirected"
"ant6 Ib","mdtC",1,0,"undirected"
"rteC","mdtD",0.995102514968365,0,"undirected"
"traA","mdtE",0.81494548572283,1.20836274430935e-05,"undirected"
"Plasmid 38606113","mdtE",0.81494548572283,1.20836274430935e-05,"undirected"
"ant6 Ib","mdtE",0.81494548572283,1.20836274430935e-05,"undirected"
"mdtC","mdtE",0.81494548572283,1.20836274430935e-05,"undirected"
"acrE","mdtF",0.930004315822508,2.96566105006946e-09,"undirected"
"acrF","mdtF",0.82893899644485,6.28749994491251e-06,"undirected"
"arnA","mdtF",1,0,"undirected"
"crp","mdtF",1,0,"undirected"
"emrY","mdtF",0.893013089567202,1.17600552407282e-07,"undirected"
"mdtB","mdtF",1,0,"undirected"
"ompA","mdtG",0.913771097479705,1.82441033391711e-08,"undirected"
"acrE","mdtG",0.750003564220555,0.000140071577150458,"undirected"
"arnA","mdtG",0.823167323592799,8.28814994546789e-06,"undirected"
"crp","mdtG",0.823167323592799,8.28814994546789e-06,"undirected"
"emrK","mdtG",0.838103457474978,3.96868226193448e-06,"undirected"
"mdtB","mdtG",0.823167323592799,8.28814994546789e-06,"undirected"
"mdtF","mdtG",0.823167323592798,8.28814994546789e-06,"undirected"
"arnA","mdtH",0.784980255323364,4.14699816970732e-05,"undirected"
"crp","mdtH",0.784980255323364,4.14699816970732e-05,"undirected"
"emrK","mdtH",0.81241886535492,1.3518313204619e-05,"undirected"
"H NS","mdtH",0.816497449622303,1.12695290908071e-05,"undirected"
"mdtB","mdtH",0.784980255323364,4.14699816970732e-05,"undirected"
"mdtF","mdtH",0.784980255323364,4.14699816970732e-05,"undirected"
"acrE","mdtK",0.930004315822508,2.96566105006946e-09,"undirected"
"acrF","mdtK",0.82893899644485,6.28749994491251e-06,"undirected"
"arnA","mdtK",1,0,"undirected"
"crp","mdtK",1,0,"undirected"
"emrY","mdtK",0.893013089567202,1.17600552407282e-07,"undirected"
"mdtB","mdtK",1,0,"undirected"
"mdtF","mdtK",1,0,"undirected"
"mdtG","mdtK",0.823167323592799,8.28814994546789e-06,"undirected"
"mdtH","mdtK",0.784980255323364,4.14699816970732e-05,"undirected"
"acrD","mdtL",0.968520168584681,2.57216470345156e-12,"undirected"
