"Label","id","Abundance","Type","Class","Gene"
"2024 Branch",1,449.82,"ARG","Aminoglycoside","2024 Branch"
"2429 Branch",2,0,"ARG","Other","2429 Branch"
"a 2394 Branch",3,0,"ARG","Aminoglycoside","a 2394 Branch"
"aac6 lm",4,765.69,"ARG","Aminoglycoside","aac6 lm"
"aadA9",5,0,"ARG","Aminoglycoside","aadA9"
"aadD",6,693.28,"ARG","Aminoglycoside","aadD"
"acrD",7,1645.86,"ARG","MDR","acrD"
"acrE",8,1574.62,"ARG","MDR","acrE"
"acrF",9,2371.47,"ARG","MDR","acrF"
"acrS",10,0,"ARG","MDR","acrS"
"ant6 Ib",11,1058.78,"ARG","Aminoglycoside","ant6 Ib"
"aph3 III",12,3066.28,"ARG","Aminoglycoside","aph3 III"
"aph6 Id",13,0,"ARG","Aminoglycoside","aph6 Id"
"arnA",14,667.38,"ARG","Polymyxin","arnA"
"bacA",15,925.85,"ARG","Bacitracin","bacA"
"baeR",16,677.67,"ARG","MDR","baeR"
"baeS",17,0,"ARG","MDR","baeS"
"bcrA",18,0,"ARG","Bacitracin","bcrA"
"bla 1029 Branch",19,0,"ARG","Beta-lactam","bla 1029 Branch"
"bla 1030 Branch",20,0,"ARG","Beta-lactam","bla 1030 Branch"
"blaACI 1",21,52379.5,"ARG","Beta-lactam","blaACI 1"
"blaAmpC",22,0,"ARG","Beta-lactam","blaAmpC"
"blaAmpH",23,0,"ARG","Beta-lactam","blaAmpH"
"blaCMY 111",24,0,"ARG","Beta-lactam","blaCMY 111"
"blaCMY 27",25,0,"ARG","Beta-lactam","blaCMY 27"
"blaCMY 32",26,0,"ARG","Beta-lactam","blaCMY 32"
"bmr",27,471.86,"ARG","MDR","bmr"
"catB4",28,0,"ARG","Phenicol","catB4"
"cfxA 2366",29,22269.78,"ARG","Beta-lactam","cfxA 2366"
"cfxA 2367",30,69468,"ARG","Beta-lactam","cfxA 2367"
"cfxA2",31,0,"ARG","Beta-lactam","cfxA2"
"cfxA3",32,0,"ARG","Beta-lactam","cfxA3"
"cfxA6",33,28000.61,"ARG","Beta-lactam","cfxA6"
"clbC",34,0,"ARG","Macrolide","clbC"
"cpxA",35,3458.36,"ARG","MDR","cpxA"
"cpxR",36,2295.49,"ARG","MDR","cpxR"
"crp",37,1012.69,"ARG","MDR","crp"
"emrA",38,1598.03,"ARG","MDR","emrA"
"emrB",39,1081.35,"ARG","MDR","emrB"
"emrE",40,0,"ARG","MDR","emrE"
"emrK",41,2950.42,"ARG","Tetracycline","emrK"
"emrR",42,0,"ARG","MDR","emrR"
"emrY",43,1649.25,"ARG","MDR","emrY"
"ermC",44,0,"ARG","Macrolide","ermC"
"ermG",45,676.58,"ARG","Macrolide","ermG"
"ermQ",46,0,"ARG","Macrolide","ermQ"
"evgA",47,1203.68,"ARG","MDR","evgA"
"evgS",48,0,"ARG","MDR","evgS"
"gadX",49,2545.54,"ARG","MDR","gadX"
"H NS",50,1627.72,"ARG","MDR","H NS"
"l 2009 Branch",51,947.39,"ARG","Macrolide","l 2009 Branch"
"lnuC",52,204362.53,"ARG","Macrolide","lnuC"
"m 2021 Branch",53,4016.91,"ARG","Macrolide","m 2021 Branch"
"marA",54,1524.22,"ARG","MDR","marA"
"mdfA",55,0,"ARG","MDR","mdfA"
"mdtA",56,792.08,"ARG","MDR","mdtA"
"mdtB",57,806.86,"ARG","MDR","mdtB"
"mdtC",58,1535.8,"ARG","MDR","mdtC"
"mdtD",59,1205.56,"ARG","MDR","mdtD"
"mdtE",60,3697.7,"ARG","MDR","mdtE"
"mdtF",61,1443.33,"ARG","MDR","mdtF"
"mdtG",62,3269.4,"ARG","MDR","mdtG"
"mdtH",63,1943.51,"ARG","MDR","mdtH"
"mdtK",64,679.16,"ARG","MDR","mdtK"
"mdtL",65,3104.62,"ARG","MDR","mdtL"
"mdtM",66,463.25,"ARG","MDR","mdtM"
"mdtN",67,3866.77,"ARG","MDR","mdtN"
"mdtO",68,1819.49,"ARG","MDR","mdtO"
"mdtP",69,2412.65,"ARG","MDR","mdtP"
"mefA",70,165792.26,"ARG","Macrolide","mefA"
"mel",71,0,"ARG","Macrolide","mel"
"msrD",72,0,"ARG","Macrolide","msrD"
"nimJ",73,0,"ARG","Nitroimidazole","nimJ"
"pbp2",74,591.21,"ARG","Beta-lactam","pbp2"
"pbp4",75,1519.36,"ARG","Beta-lactam","pbp4"
"phoP",76,499.49,"ARG","MDR","phoP"
"phoQ",77,514.15,"ARG","MDR","phoQ"
"pmrA",78,1451.24,"ARG","Polymyxin","pmrA"
"pmrB",79,859.77,"ARG","Polymyxin","pmrB"
"pmrC",80,732.06,"ARG","Polymyxin","pmrC"
"pmrE",81,0,"ARG","Polymyxin","pmrE"
"pmrF",82,2761.45,"ARG","Polymyxin","pmrF"
"sat 2182 Branch",83,2817.99,"ARG","Aminoglycoside","sat 2182 Branch"
"tet 2027 Branch",84,8176.11,"ARG","Tetracycline","tet 2027 Branch"
"tet 2105 Branch",85,0,"ARG","Tetracycline","tet 2105 Branch"
"tet 32",86,48101.52,"ARG","Tetracycline","tet 32"
"tet32",87,35440.55,"ARG","Tetracycline","tet32"
"tet40",88,149080.07,"ARG","Tetracycline","tet40"
"tet44",89,40574.47,"ARG","Tetracycline","tet44"
"tetAP",90,16597.74,"ARG","Tetracycline","tetAP"
"tetBP",91,12243.12,"ARG","Tetracycline","tetBP"
"tetD",92,0,"ARG","Tetracycline","tetD"
"tetL",93,0,"ARG","Tetracycline","tetL"
"tetO",94,241206.23,"ARG","Tetracycline","tetO"
"tetQ",95,149920.71,"ARG","Tetracycline","tetQ"
"tetW",96,515858.37,"ARG","Tetracycline","tetW"
"tetX",97,542.8,"ARG","Tetracycline","tetX"
"tolC",98,2179.58,"ARG","MDR","tolC"
"cfxA 33413459",99,120776.87,"ARG","Beta-lactam","cfxA 33413459"
"tetL-Ef",100,0,"ARG","Tetracycline","tetL-Ef"
"aadE",101,0,"ARG","Aminoglycoside","aadE"
"blc",102,441.59,"ARG","Beta-lactam","blc"
"cmy-13",103,0,"ARG","Beta-lactam","cmy-13"
"sugE",104,2068.72,"ARG","MDR","sugE"
"blc 3334641",105,0,"ARG","Beta-lactam","blc 3334641"
"cfxA 32395282",106,58478,"ARG","Beta-lactam","cfxA 32395282"
"tetA",107,0,"ARG","Tetracycline","tetA"
"88 Branch",108,0,"Virulence","Unknown","88 Branch"
"int",109,25654.78,"MGE","Plasmid","int"
"rteC",110,1303.26,"Virulence","Two-component system response regulator","rteC"
"traE",111,0,"MGE","Plasmid","traE"
"traF",112,0,"MGE","Plasmid","traF"
"transposon 46242809",113,16152.1,"MGE","Transposon","transposon 46242809"
"transposon 46242811",114,18988.11,"MGE","Transposon","transposon 46242811"
"colA",115,0,"Virulence","Collagenase","colA"
"pfoA",116,0,"Virulence","Citolysis","pfoA"
"repB",117,1037.29,"MGE","Plasmid","repB"
"Transposon 807609",118,1523.43,"MGE","Transposon","Transposon 807609"
"astA",119,0,"Virulence","N-succinyltransferase","astA"
"lacY",120,0,"Virulence","Beta-galactosides","lacY"
"lpfA",121,0,"Virulence","Fimbrial major protein","lpfA"
"ompA",122,1326.51,"Virulence","Peptidoglycan","ompA"
"traA",123,2586.04,"MGE","Plasmid","traA"
"yddA",124,975.15,"Virulence","Inner membrane ABC transporter","yddA"
"Plasmid 38606113",125,969.74,"MGE","Plasmid","Plasmid 38606113"
"exc1",126,0,"MGE","Plasmid","exc1"
"Rom",127,0,"MGE","Plasmid","Rom"
"Plasmid 4775492",128,0,"MGE","Plasmid","Plasmid 4775492"
"tnp",129,3948.53,"MGE","Transposon","tnp"
"MobA 32395281",130,22834.42,"MGE","Insertional sequence","MobA 32395281"
"fyuA",131,0,"Virulence","Biofilm","fyuA"
"ybtP",132,0,"Virulence","Siderophore","ybtP"
"Cronobacter phage vB_CsaP_GAP52",133,18.97,"Phage","Podoviridae","Cronobacter phage vB_CsaP_GAP52"
"Karamvirus_u_s",134,0,"Phage","Myoviridae","Karamvirus_u_s"
"Escherichia virus CC31",135,6.45,"Phage","Myoviridae","Escherichia virus CC31"
"Enterobacteria phage BP-4795",136,229.18,"Phage","Siphoviridae","Enterobacteria phage BP-4795"
"Escherichia virus HK106",137,17.96,"Phage","Siphoviridae","Escherichia virus HK106"
"Enterobacteria phage HK140",138,29.04,"Phage","Siphoviridae","Enterobacteria phage HK140"
"Escherichia virus HK544",139,0,"Phage","Siphoviridae","Escherichia virus HK544"
"Escherichia virus HK629",140,0,"Phage","Siphoviridae","Escherichia virus HK629"
"Escherichia virus HK633",141,0,"Phage","Siphoviridae","Escherichia virus HK633"
"Enterobacteria phage IME10",142,7.97,"Phage","Podoviridae","Enterobacteria phage IME10"
"Escherichia virus If1",143,113.62,"Phage","Inoviridae","Escherichia virus If1"
"Enterobacteria phage P4",144,241.12,"Phage","Caudovirales_u_f","Enterobacteria phage P4"
"Enterobacteria phage Sf101",145,60.83,"Phage","Podoviridae","Enterobacteria phage Sf101"
"Enterobacteria phage SfI",146,104.57,"Phage","Myoviridae","Enterobacteria phage SfI"
"Enterobacteria phage SfV",147,279.47,"Phage","Myoviridae","Enterobacteria phage SfV"
"Enterobacteria phage VT2phi_272",148,0,"Phage","Podoviridae","Enterobacteria phage VT2phi_272"
"Enterobacteria phage YYZ-2008",149,349.48,"Phage","Siphoviridae","Enterobacteria phage YYZ-2008"
"Enterobacteria phage cdtI",150,165.64,"Phage","Siphoviridae","Enterobacteria phage cdtI"
"Escherichia virus fiAA91ss",151,399.13,"Phage","Myoviridae","Escherichia virus fiAA91ss"
"Enterobacteria phage mEp043 c-1",152,0,"Phage","Siphoviridae","Enterobacteria phage mEp043 c-1"
"Enterobacteria phage mEp235",153,8.46,"Phage","Siphoviridae","Enterobacteria phage mEp235"
"Enterobacteria phage mEp237",154,0,"Phage","Siphoviridae","Enterobacteria phage mEp237"
"Enterobacteria phage mEp460",155,236.04,"Phage","Siphoviridae","Enterobacteria phage mEp460"
"Escherichia virus mEpX1",156,11.32,"Phage","Siphoviridae","Escherichia virus mEpX1"
"Escherichia virus mEpX2",157,0,"Phage","Siphoviridae","Escherichia virus mEpX2"
"Enterobacteria phage vB_EcoP_ACG-C91",158,0,"Phage","Autographiviridae","Enterobacteria phage vB_EcoP_ACG-C91"
"Enterobacterial phage mEp213",159,0,"Phage","Siphoviridae","Enterobacterial phage mEp213"
"Vequintavirus_u_s",160,0,"Phage","Myoviridae","Vequintavirus_u_s"
"Escherichia virus Cajan",161,585.26,"Phage","Siphoviridae","Escherichia virus Cajan"
"Escherichia phage D108",162,377.3,"Phage","Myoviridae","Escherichia phage D108"
"Escherichia virus FFH2",163,0,"Phage","Myoviridae","Escherichia virus FFH2"
"Escherichia virus Min27",164,0,"Phage","Podoviridae","Escherichia virus Min27"
"Escherichia virus Seurat",165,348.76,"Phage","Siphoviridae","Escherichia virus Seurat"
"Escherichia phage TL-2011b",166,154.47,"Phage","Podoviridae","Escherichia phage TL-2011b"
"Escherichia virus phiV10",167,205.46,"Phage","Podoviridae","Escherichia virus phiV10"
"Escherichia virus pro147",168,13.65,"Phage","Myoviridae","Escherichia virus pro147"
"Escherichia virus pro483",169,425.08,"Phage","Myoviridae","Escherichia virus pro483"
"Escherichia phage slur01",170,462.84,"Phage","Siphoviridae","Escherichia phage slur01"
"Escherichia virus 24B",171,0,"Phage","Podoviridae","Escherichia virus 24B"
"Escherichia virus 186",172,0,"Phage","Myoviridae","Escherichia virus 186"
"Escherichia virus HK022",173,0,"Phage","Siphoviridae","Escherichia virus HK022"
"Escherichia virus HK97",174,13.86,"Phage","Siphoviridae","Escherichia virus HK97"
"Escherichia virus K1-5",175,0,"Phage","Autographiviridae","Escherichia virus K1-5"
"Escherichia virus K1E",176,0,"Phage","Autographiviridae","Escherichia virus K1E"
