"Source","Target","Correlation","Type"
111,120,1,"undirected"
111,123,1,"undirected"
120,123,1,"undirected"
111,126,1,"undirected"
120,126,1,"undirected"
123,126,1,"undirected"
111,127,1,"undirected"
120,127,1,"undirected"
123,127,1,"undirected"
126,127,1,"undirected"
111,128,1,"undirected"
120,128,1,"undirected"
123,128,1,"undirected"
126,128,1,"undirected"
127,128,1,"undirected"
111,129,1,"undirected"
120,129,1,"undirected"
123,129,1,"undirected"
126,129,1,"undirected"
127,129,1,"undirected"
128,129,1,"undirected"
111,9,1,"undirected"
120,9,1,"undirected"
123,9,1,"undirected"
126,9,1,"undirected"
127,9,1,"undirected"
128,9,1,"undirected"
129,9,1,"undirected"
125,11,1,"undirected"
111,14,0.778525970170532,"undirected"
120,14,0.778525970170532,"undirected"
123,14,0.778525970170532,"undirected"
126,14,0.778525970170532,"undirected"
127,14,0.778525970170532,"undirected"
128,14,0.778525970170532,"undirected"
129,14,0.778525970170532,"undirected"
9,14,0.778525970170532,"undirected"
125,22,0.764477876514108,"undirected"
11,22,0.764477876514108,"undirected"
10,31,1,"undirected"
108,32,1,"undirected"
34,35,0.886183616912162,"undirected"
111,36,0.765943824490387,"undirected"
120,36,0.765943824490387,"undirected"
123,36,0.765943824490387,"undirected"
126,36,0.765943824490387,"undirected"
127,36,0.765943824490387,"undirected"
128,36,0.765943824490387,"undirected"
129,36,0.765943824490387,"undirected"
9,36,0.765943824490387,"undirected"
111,37,0.798872926521986,"undirected"
120,37,0.798872926521986,"undirected"
123,37,0.798872926521986,"undirected"
126,37,0.798872926521986,"undirected"
127,37,0.798872926521986,"undirected"
128,37,0.798872926521986,"undirected"
129,37,0.798872926521986,"undirected"
9,37,0.798872926521986,"undirected"
36,37,0.840856029242647,"undirected"
111,38,1,"undirected"
120,38,1,"undirected"
123,38,1,"undirected"
126,38,1,"undirected"
127,38,1,"undirected"
128,38,1,"undirected"
129,38,1,"undirected"
9,38,1,"undirected"
14,38,0.778525970170532,"undirected"
36,38,0.765943824490387,"undirected"
37,38,0.798872926521986,"undirected"
119,42,0.824772988699257,"undirected"
108,44,1,"undirected"
32,44,1,"undirected"
34,47,0.950981457223932,"undirected"
35,47,0.986029324410091,"undirected"
111,48,0.850763929006585,"undirected"
120,48,0.850763929006585,"undirected"
123,48,0.850763929006585,"undirected"
126,48,0.850763929006585,"undirected"
127,48,0.850763929006585,"undirected"
128,48,0.850763929006585,"undirected"
129,48,0.850763929006585,"undirected"
9,48,0.850763929006586,"undirected"
36,48,0.947087628030465,"undirected"
37,48,0.901062559419095,"undirected"
38,48,0.850763929006585,"undirected"
124,54,1,"undirected"
111,55,1,"undirected"
120,55,1,"undirected"
123,55,1,"undirected"
126,55,1,"undirected"
127,55,1,"undirected"
128,55,1,"undirected"
129,55,1,"undirected"
9,55,1,"undirected"
