"Label","Target","Correlation","p","Type"
"traE","lacY",1,0,"undirected"
"traE","traA",1,0,"undirected"
"lacY","traA",1,0,"undirected"
"traE","exc1",1,0,"undirected"
"lacY","exc1",1,0,"undirected"
"traA","exc1",1,0,"undirected"
"traE","Rom",1,0,"undirected"
"lacY","Rom",1,0,"undirected"
"traA","Rom",1,0,"undirected"
"exc1","Rom",1,0,"undirected"
"traE","Plasmid 4775492",1,0,"undirected"
"lacY","Plasmid 4775492",1,0,"undirected"
"traA","Plasmid 4775492",1,0,"undirected"
"exc1","Plasmid 4775492",1,0,"undirected"
"Rom","Plasmid 4775492",1,0,"undirected"
"traE","tnp",1,0,"undirected"
"lacY","tnp",1,0,"undirected"
"traA","tnp",1,0,"undirected"
"exc1","tnp",1,0,"undirected"
"Rom","tnp",1,0,"undirected"
"Plasmid 4775492","tnp",1,0,"undirected"
"traE","acrF",1,0,"undirected"
"lacY","acrF",1,0,"undirected"
"traA","acrF",1,0,"undirected"
"exc1","acrF",1,0,"undirected"
"Rom","acrF",1,0,"undirected"
"Plasmid 4775492","acrF",1,0,"undirected"
"tnp","acrF",1,0,"undirected"
"Plasmid 38606113","ant6 Ib",1,0,"undirected"
"traE","arnA",0.778525970170532,5.27526392644084e-05,"undirected"
"lacY","arnA",0.778525970170532,5.27526392644084e-05,"undirected"
"traA","arnA",0.778525970170532,5.27526392644084e-05,"undirected"
"exc1","arnA",0.778525970170532,5.27526392644084e-05,"undirected"
"Rom","arnA",0.778525970170532,5.27526392644084e-05,"undirected"
"Plasmid 4775492","arnA",0.778525970170532,5.27526392644084e-05,"undirected"
"tnp","arnA",0.778525970170532,5.27526392644084e-05,"undirected"
"acrF","arnA",0.778525970170532,5.27526392644084e-05,"undirected"
"Plasmid 38606113","blaAmpC",0.764477876514108,8.67712212646587e-05,"undirected"
"ant6 Ib","blaAmpC",0.764477876514108,8.67712212646587e-05,"undirected"
"acrS","cfxA2",1,0,"undirected"
"88 Branch","cfxA3",1,0,"undirected"
"clbC","cpxA",0.886183616912162,2.00025547680838e-07,"undirected"
"traE","cpxR",0.765943824490387,8.25104210022687e-05,"undirected"
"lacY","cpxR",0.765943824490387,8.25104210022687e-05,"undirected"
"traA","cpxR",0.765943824490387,8.25104210022687e-05,"undirected"
"exc1","cpxR",0.765943824490387,8.25104210022687e-05,"undirected"
"Rom","cpxR",0.765943824490387,8.25104210022687e-05,"undirected"
"Plasmid 4775492","cpxR",0.765943824490387,8.25104210022687e-05,"undirected"
"tnp","cpxR",0.765943824490387,8.25104210022687e-05,"undirected"
"acrF","cpxR",0.765943824490387,8.25104210022687e-05,"undirected"
"traE","crp",0.798872926521986,2.40118807837142e-05,"undirected"
"lacY","crp",0.798872926521986,2.40118807837142e-05,"undirected"
"traA","crp",0.798872926521986,2.40118807837142e-05,"undirected"
"exc1","crp",0.798872926521986,2.40118807837142e-05,"undirected"
"Rom","crp",0.798872926521986,2.40118807837142e-05,"undirected"
"Plasmid 4775492","crp",0.798872926521986,2.40118807837142e-05,"undirected"
"tnp","crp",0.798872926521986,2.40118807837142e-05,"undirected"
"acrF","crp",0.798872926521986,2.40118807837142e-05,"undirected"
"cpxR","crp",0.840856029242647,3.43739942132437e-06,"undirected"
"traE","emrA",1,0,"undirected"
"lacY","emrA",1,0,"undirected"
"traA","emrA",1,0,"undirected"
"exc1","emrA",1,0,"undirected"
"Rom","emrA",1,0,"undirected"
"Plasmid 4775492","emrA",1,0,"undirected"
"tnp","emrA",1,0,"undirected"
"acrF","emrA",1,0,"undirected"
"arnA","emrA",0.778525970170532,5.27526392644084e-05,"undirected"
"cpxR","emrA",0.765943824490387,8.25104210022687e-05,"undirected"
"crp","emrA",0.798872926521986,2.40118807837142e-05,"undirected"
"astA","emrR",0.824772988699257,7.68266791562056e-06,"undirected"
"88 Branch","ermC",1,0,"undirected"
"cfxA3","ermC",1,0,"undirected"
"clbC","evgA",0.950981457223932,1.29824151429148e-10,"undirected"
"cpxA","evgA",0.986029324410091,1.77635683940025e-15,"undirected"
"traE","evgS",0.850763929006585,2.00230727864792e-06,"undirected"
"lacY","evgS",0.850763929006585,2.00230727864792e-06,"undirected"
"traA","evgS",0.850763929006585,2.00230727864792e-06,"undirected"
"exc1","evgS",0.850763929006585,2.00230727864792e-06,"undirected"
"Rom","evgS",0.850763929006585,2.00230727864792e-06,"undirected"
