"Label","id","Abundance","Type","Class","Gene"
"2024 Branch",1,0,"ARG","Aminoglycoside","2024 Branch"
"2429 Branch",2,0,"ARG","Other","2429 Branch"
"a 2394 Branch",3,0,"ARG","Aminoglycoside","a 2394 Branch"
"aac6 lm",4,0,"ARG","Aminoglycoside","aac6 lm"
"aadA9",5,563.37,"ARG","Aminoglycoside","aadA9"
"aadD",6,0,"ARG","Aminoglycoside","aadD"
"acrD",7,792.32,"ARG","MDR","acrD"
"acrE",8,506.2,"ARG","MDR","acrE"
"acrF",9,0,"ARG","MDR","acrF"
"acrS",10,0,"ARG","MDR","acrS"
"ant6 Ib",11,0,"ARG","Aminoglycoside","ant6 Ib"
"aph3 III",12,6029.16,"ARG","Aminoglycoside","aph3 III"
"aph6 Id",13,0,"ARG","Aminoglycoside","aph6 Id"
"arnA",14,0,"ARG","Polymyxin","arnA"
"bacA",15,737.62,"ARG","Bacitracin","bacA"
"baeR",16,460.79,"ARG","MDR","baeR"
"baeS",17,621.76,"ARG","MDR","baeS"
"bcrA",18,1253.27,"ARG","Bacitracin","bcrA"
"bla 1029 Branch",19,5238.66,"ARG","Beta-lactam","bla 1029 Branch"
"bla 1030 Branch",20,3988.15,"ARG","Beta-lactam","bla 1030 Branch"
"blaACI 1",21,83509.72,"ARG","Beta-lactam","blaACI 1"
"blaAmpC",22,0,"ARG","Beta-lactam","blaAmpC"
"blaAmpH",23,0,"ARG","Beta-lactam","blaAmpH"
"blaCMY 111",24,1923.62,"ARG","Beta-lactam","blaCMY 111"
"blaCMY 27",25,0,"ARG","Beta-lactam","blaCMY 27"
"blaCMY 32",26,1166.92,"ARG","Beta-lactam","blaCMY 32"
"bmr",27,0,"ARG","MDR","bmr"
"catB4",28,791.26,"ARG","Phenicol","catB4"
"cfxA 2366",29,26713.99,"ARG","Beta-lactam","cfxA 2366"
"cfxA 2367",30,159349.77,"ARG","Beta-lactam","cfxA 2367"
"cfxA2",31,0,"ARG","Beta-lactam","cfxA2"
"cfxA3",32,3155.61,"ARG","Beta-lactam","cfxA3"
"cfxA6",33,48439.8,"ARG","Beta-lactam","cfxA6"
"clbC",34,1383.01,"ARG","Macrolide","clbC"
"cpxA",35,1072.95,"ARG","MDR","cpxA"
