"Label","Target","Correlation","p","Type"
"int","lacY",1,0,"undirected"
"transposon 46242811","tnp",1,0,"undirected"
"int","fyuA",1,0,"undirected"
"lacY","fyuA",1,0,"undirected"
"transposon 46242811","a 2394 Branch",1,0,"undirected"
"tnp","a 2394 Branch",1,0,"undirected"
"repB","acrE",0.772760274609544,6.49775654766316e-05,"undirected"
"int","acrS",0.815914339754072,1.15696381799424e-05,"undirected"
"lacY","acrS",0.815914339754072,1.15696381799424e-05,"undirected"
"fyuA","acrS",0.815914339754072,1.15696381799424e-05,"undirected"
"astA","aph3 III",1,0,"undirected"
"acrE","baeR",0.95859226563402,2.92397217549478e-11,"undirected"
"int","bla 1030 Branch",0.772131809520751,6.64468084350389e-05,"undirected"
"lacY","bla 1030 Branch",0.772131809520751,6.64468084350389e-05,"undirected"
"fyuA","bla 1030 Branch",0.772131809520751,6.64468084350389e-05,"undirected"
"transposon 46242811","blaCMY 27",1,0,"undirected"
"tnp","blaCMY 27",1,0,"undirected"
"a 2394 Branch","blaCMY 27",1,0,"undirected"
"bla 1029 Branch","cpxA",0.837706394444532,4.05093583322191e-06,"undirected"
"ybtP","emrA",0.802424604315757,2.07414215187551e-05,"undirected"
"baeS","emrA",0.838464778275231,3.89510102971613e-06,"undirected"
"int","emrE",1,0,"undirected"
"lacY","emrE",1,0,"undirected"
"fyuA","emrE",1,0,"undirected"
"acrS","emrE",0.815914339754072,1.15696381799424e-05,"undirected"
"bla 1030 Branch","emrE",0.772131809520751,6.64468084350389e-05,"undirected"
"ybtP","emrK",0.751957691832282,0.000131547259300868,"undirected"
"baeS","emrK",0.966698187361255,4.23971968643855e-12,"undirected"
"emrA","emrK",0.950007007908897,1.54432244769964e-10,"undirected"
"transposon 46242811","emrY",1,0,"undirected"
"tnp","emrY",1,0,"undirected"
"a 2394 Branch","emrY",1,0,"undirected"
"blaCMY 27","emrY",1,0,"undirected"
"evgA","gadX",0.869100936170975,6.59983794726315e-07,"undirected"
"repB","H NS",1,0,"undirected"
"acrE","H NS",0.772760274609544,6.49775654766316e-05,"undirected"
"int","marA",1,0,"undirected"
"lacY","marA",1,0,"undirected"
"fyuA","marA",1,0,"undirected"
"acrS","marA",0.815914339754072,1.15696381799424e-05,"undirected"
"bla 1030 Branch","marA",0.772131809520751,6.64468084350389e-05,"undirected"
"emrE","marA",1,0,"undirected"
"bla 1029 Branch","mdfA",1,0,"undirected"
"cpxA","mdfA",0.837706394444532,4.05093583322191e-06,"undirected"
"bla 1029 Branch","mdtA",1,0,"undirected"
"cpxA","mdtA",0.837706394444532,4.05093583322191e-06,"undirected"
"mdfA","mdtA",1,0,"undirected"
"ybtP","mdtB",0.802424604315757,2.07414215187551e-05,"undirected"
"baeS","mdtB",0.838464778275231,3.89510102971613e-06,"undirected"
"emrA","mdtB",1,0,"undirected"
"emrK","mdtB",0.950007007908897,1.54432244769964e-10,"undirected"
"bla 1029 Branch","mdtC",1,0,"undirected"
"cpxA","mdtC",0.837706394444532,4.05093583322191e-06,"undirected"
"mdfA","mdtC",1,0,"undirected"
"mdtA","mdtC",1,0,"undirected"
"int","mdtD",1,0,"undirected"
"lacY","mdtD",1,0,"undirected"
"fyuA","mdtD",1,0,"undirected"
"acrS","mdtD",0.815914339754072,1.15696381799424e-05,"undirected"
"bla 1030 Branch","mdtD",0.772131809520751,6.64468084350389e-05,"undirected"
"emrE","mdtD",1,0,"undirected"
"marA","mdtD",1,0,"undirected"
"2024 Branch","mdtE",1,0,"undirected"
"ybtP","mdtF",0.802424604315757,2.07414215187551e-05,"undirected"
"baeS","mdtF",0.838464778275231,3.89510102971613e-06,"undirected"
"emrA","mdtF",1,0,"undirected"
"emrK","mdtF",0.950007007908897,1.54432244769964e-10,"undirected"
"mdtB","mdtF",1,0,"undirected"
"transposon 46242811","mdtG",1,0,"undirected"
"tnp","mdtG",1,0,"undirected"
"a 2394 Branch","mdtG",1,0,"undirected"
"blaCMY 27","mdtG",1,0,"undirected"
"emrY","mdtG",1,0,"undirected"
"ybtP","mdtK",0.802424604315757,2.07414215187551e-05,"undirected"
"baeS","mdtK",0.838464778275231,3.89510102971613e-06,"undirected"
"emrA","mdtK",1,0,"undirected"
"emrK","mdtK",0.950007007908897,1.54432244769964e-10,"undirected"
"mdtB","mdtK",1,0,"undirected"
"mdtF","mdtK",1,0,"undirected"
"acrS","mdtO",0.983114033875881,9.99200722162641e-15,"undirected"
"emrA","mdtP",0.780274088554298,4.94626286005051e-05,"undirected"
"mdtB","mdtP",0.780274088554298,4.94626286005051e-05,"undirected"
"mdtF","mdtP",0.780274088554298,4.94626286005051e-05,"undirected"
"mdtK","mdtP",0.780274088554298,4.94626286005051e-05,"undirected"
"ybtP","phoQ",0.802424604315757,2.07414215187551e-05,"undirected"
"baeS","phoQ",0.838464778275231,3.89510102971613e-06,"undirected"
"emrA","phoQ",1,0,"undirected"
"emrK","phoQ",0.950007007908897,1.54432244769964e-10,"undirected"
"mdtB","phoQ",1,0,"undirected"
"mdtF","phoQ",1,0,"undirected"
"mdtK","phoQ",1,0,"undirected"
"mdtP","phoQ",0.780274088554298,4.94626286005051e-05,"undirected"
"baeS","pmrA",0.996780172891582,0,"undirected"
"emrA","pmrA",0.792068966608567,3.15388436258335e-05,"undirected"
"emrK","pmrA",0.943065263007418,4.85122164661789e-10,"undirected"
"mdtB","pmrA",0.792068966608567,3.15388436258335e-05,"undirected"
"mdtF","pmrA",0.792068966608567,3.15388436258335e-05,"undirected"
"mdtK","pmrA",0.792068966608567,3.15388436258335e-05,"undirected"
"phoQ","pmrA",0.792068966608567,3.15388436258335e-05,"undirected"
"astA","pmrF",1,0,"undirected"
"aph3 III","pmrF",1,0,"undirected"
"aph6 Id","sat 2182 Branch",1,0,"undirected"
"transposon 46242811","tetBP",0.808986459207828,1.57027350993211e-05,"undirected"
"tnp","tetBP",0.808986459207828,1.57027350993211e-05,"undirected"
"a 2394 Branch","tetBP",0.808986459207828,1.57027350993211e-05,"undirected"
"blaCMY 27","tetBP",0.808986459207828,1.57027350993211e-05,"undirected"
"emrY","tetBP",0.808986459207828,1.57027350993211e-05,"undirected"
"mdtG","tetBP",0.808986459207828,1.57027350993211e-05,"undirected"
"ybtP","tetD",0.802424604315757,2.07414215187551e-05,"undirected"
"baeS","tetD",0.838464778275231,3.89510102971613e-06,"undirected"
"emrA","tetD",1,0,"undirected"
"emrK","tetD",0.950007007908897,1.54432244769964e-10,"undirected"
"mdtB","tetD",1,0,"undirected"
"mdtF","tetD",1,0,"undirected"
"mdtK","tetD",1,0,"undirected"
"mdtP","tetD",0.780274088554298,4.94626286005051e-05,"undirected"
"phoQ","tetD",1,0,"undirected"
"pmrA","tetD",0.792068966608567,3.15388436258335e-05,"undirected"
"mel","tolC",1,0,"undirected"
"aph6 Id","tetL-Ef",1,0,"undirected"
"sat 2182 Branch","tetL-Ef",1,0,"undirected"
"transposon 46242811","aadE",1,0,"undirected"
"tnp","aadE",1,0,"undirected"
"a 2394 Branch","aadE",1,0,"undirected"
"blaCMY 27","aadE",1,0,"undirected"
"emrY","aadE",1,0,"undirected"
"mdtG","aadE",1,0,"undirected"
"tetBP","aadE",0.808986459207828,1.57027350993211e-05,"undirected"
"mel","blc",0.989596054824857,0,"undirected"
"tolC","blc",0.989596054824857,0,"undirected"
"int","sugE",1,0,"undirected"
"lacY","sugE",1,0,"undirected"
"fyuA","sugE",1,0,"undirected"
"acrS","sugE",0.815914339754072,1.15696381799424e-05,"undirected"
"bla 1030 Branch","sugE",0.772131809520751,6.64468084350389e-05,"undirected"
"emrE","sugE",1,0,"undirected"
"marA","sugE",1,0,"undirected"
"mdtD","sugE",1,0,"undirected"
"mel","blc 3334641",1,0,"undirected"
"tolC","blc 3334641",1,0,"undirected"
"blc","blc 3334641",0.989596054824857,0,"undirected"
"cfxA 2367","cfxA 32395282",0.762290453610244,9.34803762828729e-05,"undirected"
"transposon 46242811","Enterobacteria phage BP-4795",0.871654970016835,5.58130968997261e-07,"undirected"
"tnp","Enterobacteria phage BP-4795",0.871654970016835,5.58130968997261e-07,"undirected"
"a 2394 Branch","Enterobacteria phage BP-4795",0.871654970016835,5.58130968997261e-07,"undirected"
"blaCMY 27","Enterobacteria phage BP-4795",0.871654970016835,5.58130968997261e-07,"undirected"
"emrY","Enterobacteria phage BP-4795",0.871654970016835,5.58130968997261e-07,"undirected"
"mdtG","Enterobacteria phage BP-4795",0.871654970016835,5.58130968997261e-07,"undirected"
"tetBP","Enterobacteria phage BP-4795",0.856055431253007,1.476496801045e-06,"undirected"
"aadE","Enterobacteria phage BP-4795",0.871654970016835,5.58130968997261e-07,"undirected"
"repB","Escherichia virus HK629",1,0,"undirected"
"acrE","Escherichia virus HK629",0.772760274609544,6.49775654766316e-05,"undirected"
"H NS","Escherichia virus HK629",1,0,"undirected"
