"Label","Target","Correlation","p","Type"
"tnp","acrE",1,0,"undirected"
"transposon 46242809","blaCMY 27",0.82175617042628,8.85409591422359e-06,"undirected"
"astA","cpxA",0.772635662649765,6.52666414495684e-05,"undirected"
"astA","crp",0.865938193071594,8.08383594730344e-07,"undirected"
"Plasmid 38606113","crp",0.916375782727806,1.39783828956297e-08,"undirected"
"astA","emrB",0.791943142087234,3.16953148324917e-05,"undirected"
"aph3 III","ermG",1,0,"undirected"
"astA","evgA",0.976871868965327,1.65423230669148e-13,"undirected"
"cpxA","evgA",0.890513107499022,1.43416777120819e-07,"undirected"
"emrB","evgA",0.808934713481859,1.5737878090949e-05,"undirected"
"astA","marA",0.772635662649765,6.52666414495684e-05,"undirected"
"cpxA","marA",1,0,"undirected"
"evgA","marA",0.890513107499021,1.43416777120819e-07,"undirected"
"Plasmid 38606113","mdtH",1,0,"undirected"
"crp","mdtH",0.916375782727806,1.39783828956297e-08,"undirected"
"tnp","mdtO",1,0,"undirected"
"acrE","mdtO",1,0,"undirected"
"tnp","pbp4",1,0,"undirected"
"acrE","pbp4",1,0,"undirected"
"mdtO","pbp4",1,0,"undirected"
"cpxA","pmrA",0.775151416205318,5.96402395118822e-05,"undirected"
"marA","pmrA",0.775151416205318,5.96402395118822e-05,"undirected"
"astA","pmrB",0.772635662649765,6.52666414495684e-05,"undirected"
"cpxA","pmrB",1,0,"undirected"
"evgA","pmrB",0.890513107499022,1.43416777120819e-07,"undirected"
"marA","pmrB",1,0,"undirected"
"pmrA","pmrB",0.775151416205318,5.96402395118822e-05,"undirected"
"cfxA 2366","pmrF",0.780129648571501,4.97275891861992e-05,"undirected"
"baeS","tolC",0.804861499627524,1.87273336276217e-05,"undirected"
"blaCMY 27","cmy-13",0.78604414917981,3.98264140437643e-05,"undirected"
"blc","blc 3334641",0.750771998845029,0.000136664656350982,"undirected"
"mdtP","Enterobacteria phage BP-4795",0.941625406441111,6.04175820484443e-10,"undirected"
"pmrA","Enterobacteria phage BP-4795",0.827452568433734,6.75761464963287e-06,"undirected"
"astA","Enterobacteria phage HK140",0.772635662649765,6.52666414495684e-05,"undirected"
"cpxA","Enterobacteria phage HK140",1,0,"undirected"
"evgA","Enterobacteria phage HK140",0.890513107499022,1.43416777120819e-07,"undirected"
"marA","Enterobacteria phage HK140",1,0,"undirected"
"pmrA","Enterobacteria phage HK140",0.775151416205318,5.96402395118822e-05,"undirected"
"pmrB","Enterobacteria phage HK140",1,0,"undirected"
"astA","Enterobacteria phage IME10",0.979669916377384,5.24025267623074e-14,"undirected"
"cpxA","Enterobacteria phage IME10",0.868261655413495,6.96829287605283e-07,"undirected"
"crp","Enterobacteria phage IME10",0.760621994342504,9.88931246324043e-05,"undirected"
"emrB","Enterobacteria phage IME10",0.801431763937804,2.16142474296355e-05,"undirected"
"evgA","Enterobacteria phage IME10",0.994510613485184,0,"undirected"
"marA","Enterobacteria phage IME10",0.868261655413495,6.96829287605283e-07,"undirected"
"pmrB","Enterobacteria phage IME10",0.868261655413495,6.96829287605283e-07,"undirected"
"Enterobacteria phage HK140","Enterobacteria phage IME10",0.868261655413495,6.96829287605283e-07,"undirected"
"tnp","Escherichia virus If1",1,0,"undirected"
"acrE","Escherichia virus If1",1,0,"undirected"
"mdtO","Escherichia virus If1",1,0,"undirected"
"pbp4","Escherichia virus If1",1,0,"undirected"
"Plasmid 38606113","Enterobacteria phage P4",0.901186760461184,5.93089455325213e-08,"undirected"
"crp","Enterobacteria phage P4",0.816186238170389,1.14288481882774e-05,"undirected"
"mdtH","Enterobacteria phage P4",0.901186760461184,5.93089455325213e-08,"undirected"
"cpxA","Enterobacteria phage Sf101",0.839143040533347,3.76018018277691e-06,"undirected"
"marA","Enterobacteria phage Sf101",0.839143040533347,3.76018018277691e-06,"undirected"
"pmrB","Enterobacteria phage Sf101",0.839143040533347,3.76018018277691e-06,"undirected"
"Enterobacteria phage HK140","Enterobacteria phage Sf101",0.839143040533347,3.76018018277691e-06,"undirected"
"Enterobacteria phage IME10","Enterobacteria phage Sf101",0.766806739226867,8.0087498833592e-05,"undirected"
"Plasmid 38606113","Enterobacteria phage SfI",0.933899107155223,1.79726900029209e-09,"undirected"
"crp","Enterobacteria phage SfI",0.847850926973513,2.35630997824643e-06,"undirected"
"mdtH","Enterobacteria phage SfI",0.933899107155223,1.79726900029209e-09,"undirected"
"Enterobacteria phage P4","Enterobacteria phage SfI",0.833008207364582,5.14299175935484e-06,"undirected"
"Plasmid 38606113","Enterobacteria phage SfV",0.95831744338782,3.10020897842378e-11,"undirected"
"crp","Enterobacteria phage SfV",0.93385249987545,1.80839432317725e-09,"undirected"
"mdtH","Enterobacteria phage SfV",0.958317443387821,3.10020897842378e-11,"undirected"
"Enterobacteria phage P4","Enterobacteria phage SfV",0.968279519561132,2.75202083344084e-12,"undirected"
"Enterobacteria phage SfI","Enterobacteria phage SfV",0.886968584670567,1.88505013820617e-07,"undirected"
"baeS","Enterobacteria phage YYZ-2008",0.791529617533846,3.22142965125671e-05,"undirected"
"astA","Enterobacteria phage cdtI",0.887137901990167,1.86097802057361e-07,"undirected"
"cpxA","Enterobacteria phage cdtI",0.926182251666062,4.71809968871639e-09,"undirected"
"evgA","Enterobacteria phage cdtI",0.947707030174794,2.29546825991633e-10,"undirected"
"marA","Enterobacteria phage cdtI",0.926182251666062,4.71809968871639e-09,"undirected"
"pmrA","Enterobacteria phage cdtI",0.796205250114478,2.67532642619361e-05,"undirected"
"pmrB","Enterobacteria phage cdtI",0.926182251666062,4.71809968871639e-09,"undirected"
"Enterobacteria phage HK140","Enterobacteria phage cdtI",0.926182251666062,4.71809968871639e-09,"undirected"
"Enterobacteria phage IME10","Enterobacteria phage cdtI",0.932828176638171,2.06875583330657e-09,"undirected"
"Enterobacteria phage Sf101","Enterobacteria phage cdtI",0.753549365215927,0.000124936697015965,"undirected"
"tnp","Escherichia virus fiAA91ss",0.993849827610476,0,"undirected"
"acrE","Escherichia virus fiAA91ss",0.993849827610476,0,"undirected"
"mdtO","Escherichia virus fiAA91ss",0.993849827610476,0,"undirected"
"pbp4","Escherichia virus fiAA91ss",0.993849827610476,0,"undirected"
"Escherichia virus If1","Escherichia virus fiAA91ss",0.993849827610476,0,"undirected"
"astA","Enterobacteria phage mEp460",0.801215495052039,2.18085355299102e-05,"undirected"
"cpxA","Enterobacteria phage mEp460",0.938902354989235,9.01576813205907e-10,"undirected"
"evgA","Enterobacteria phage mEp460",0.890416038931488,1.44512276367692e-07,"undirected"
"marA","Enterobacteria phage mEp460",0.938902354989236,9.01576813205907e-10,"undirected"
"pmrB","Enterobacteria phage mEp460",0.938902354989236,9.01576813205907e-10,"undirected"
"Enterobacteria phage HK140","Enterobacteria phage mEp460",0.938902354989236,9.01576813205907e-10,"undirected"
"Enterobacteria phage IME10","Enterobacteria phage mEp460",0.871432969620577,5.66401627821733e-07,"undirected"
"Enterobacteria phage Sf101","Enterobacteria phage mEp460",0.773953609172533,6.2264634471898e-05,"undirected"
"Enterobacteria phage cdtI","Enterobacteria phage mEp460",0.892645249528018,1.2112199887504e-07,"undirected"
"aph3 III","Escherichia phage D108",0.987670337703887,4.44089209850063e-16,"undirected"
"ermG","Escherichia phage D108",0.987670337703887,4.44089209850063e-16,"undirected"
"Plasmid 38606113","Escherichia phage TL-2011b",0.797462385173699,2.54294306476499e-05,"undirected"
"mdtH","Escherichia phage TL-2011b",0.797462385173699,2.54294306476499e-05,"undirected"
"Plasmid 38606113","Escherichia virus phiV10",1,0,"undirected"
"crp","Escherichia virus phiV10",0.916375782727806,1.39783828956297e-08,"undirected"
