"Source","Target","Correlation","Type"
109,114,0.789039923373547,"undirected"
115,116,1,"undirected"
115,122,1,"undirected"
116,122,1,"undirected"
115,123,1,"undirected"
116,123,1,"undirected"
122,123,1,"undirected"
115,125,1,"undirected"
116,125,1,"undirected"
122,125,1,"undirected"
123,125,1,"undirected"
115,132,1,"undirected"
116,132,1,"undirected"
122,132,1,"undirected"
123,132,1,"undirected"
125,132,1,"undirected"
7,9,0.871979328842308,"undirected"
7,15,0.768013393225337,"undirected"
7,16,1,"undirected"
9,16,0.871979328842308,"undirected"
15,16,0.768013393225337,"undirected"
7,17,0.915556073681751,"undirected"
9,17,0.78212197818665,"undirected"
16,17,0.91555607368175,"undirected"
1,25,0.97240361855265,"undirected"
115,35,1,"undirected"
116,35,1,"undirected"
122,35,1,"undirected"
123,35,1,"undirected"
125,35,1,"undirected"
132,35,1,"undirected"
7,36,1,"undirected"
9,36,0.871979328842308,"undirected"
15,36,0.768013393225337,"undirected"
16,36,1,"undirected"
17,36,0.915556073681751,"undirected"
17,37,0.8823248288258,"undirected"
7,38,1,"undirected"
9,38,0.871979328842308,"undirected"
15,38,0.768013393225336,"undirected"
16,38,1,"undirected"
17,38,0.91555607368175,"undirected"
36,38,1,"undirected"
2,39,0.7962679471889,"undirected"
7,43,0.90812551603465,"undirected"
9,43,0.779809585864325,"undirected"
16,43,0.90812551603465,"undirected"
17,43,0.817563710574358,"undirected"
36,43,0.90812551603465,"undirected"
38,43,0.90812551603465,"undirected"
7,47,0.901803804856177,"undirected"
9,47,0.773909937344888,"undirected"
16,47,0.901803804856177,"undirected"
17,47,0.975216930582358,"undirected"
36,47,0.901803804856177,"undirected"
37,47,0.9307446416005,"undirected"
38,47,0.901803804856177,"undirected"
43,47,0.808307601372684,"undirected"
20,48,1,"undirected"
115,49,1,"undirected"
116,49,1,"undirected"
122,49,1,"undirected"
123,49,1,"undirected"
125,49,1,"undirected"
132,49,1,"undirected"
35,49,1,"undirected"
7,57,1,"undirected"
9,57,0.871979328842308,"undirected"
15,57,0.768013393225336,"undirected"
16,57,1,"undirected"
17,57,0.91555607368175,"undirected"
36,57,1,"undirected"
38,57,1,"undirected"
43,57,0.90812551603465,"undirected"
47,57,0.901803804856177,"undirected"
7,59,0.863126177208535,"undirected"
16,59,0.863126177208535,"undirected"
17,59,0.773504536180148,"undirected"
36,59,0.863126177208535,"undirected"
38,59,0.863126177208535,"undirected"
43,59,0.771389398116142,"undirected"
47,59,0.765533498583283,"undirected"
57,59,0.863126177208535,"undirected"
7,60,1,"undirected"
9,60,0.871979328842308,"undirected"
15,60,0.768013393225336,"undirected"
16,60,1,"undirected"
17,60,0.91555607368175,"undirected"
36,60,1,"undirected"
38,60,1,"undirected"
43,60,0.90812551603465,"undirected"
47,60,0.901803804856177,"undirected"
57,60,1,"undirected"
59,60,0.863126177208535,"undirected"
7,61,1,"undirected"
9,61,0.871979328842308,"undirected"
15,61,0.768013393225336,"undirected"
16,61,1,"undirected"
17,61,0.915556073681751,"undirected"
36,61,1,"undirected"
38,61,1,"undirected"
43,61,0.90812551603465,"undirected"
47,61,0.901803804856177,"undirected"
57,61,1,"undirected"
59,61,0.863126177208535,"undirected"
60,61,1,"undirected"
43,63,0.761134983566024,"undirected"
7,64,1,"undirected"
9,64,0.871979328842308,"undirected"
15,64,0.768013393225337,"undirected"
16,64,1,"undirected"
17,64,0.91555607368175,"undirected"
36,64,1,"undirected"
38,64,1,"undirected"
43,64,0.90812551603465,"undirected"
47,64,0.901803804856177,"undirected"
57,64,1,"undirected"
59,64,0.863126177208535,"undirected"
60,64,1,"undirected"
61,64,1,"undirected"
115,68,0.874433728175393,"undirected"
116,68,0.874433728175393,"undirected"
122,68,0.874433728175393,"undirected"
123,68,0.874433728175393,"undirected"
125,68,0.874433728175393,"undirected"
132,68,0.874433728175393,"undirected"
35,68,0.874433728175393,"undirected"
37,68,0.892888741401358,"undirected"
47,68,0.781967162931474,"undirected"
49,68,0.874433728175393,"undirected"
115,74,0.849741103802239,"undirected"
116,74,0.849741103802239,"undirected"
122,74,0.849741103802239,"undirected"
123,74,0.849741103802239,"undirected"
125,74,0.849741103802239,"undirected"
132,74,0.849741103802239,"undirected"
35,74,0.849741103802239,"undirected"
37,74,0.910015051466013,"undirected"
47,74,0.811426589899522,"undirected"
49,74,0.849741103802239,"undirected"
68,74,0.99881081630945,"undirected"
115,75,0.75786613331064,"undirected"
116,75,0.75786613331064,"undirected"
122,75,0.75786613331064,"undirected"
123,75,0.75786613331064,"undirected"
125,75,0.75786613331064,"undirected"
132,75,0.75786613331064,"undirected"
17,75,0.832282836555809,"undirected"
35,75,0.75786613331064,"undirected"
37,75,0.949993744278163,"undirected"
47,75,0.892133904936434,"undirected"
49,75,0.75786613331064,"undirected"
68,75,0.979217190189004,"undirected"
74,75,0.987940737439138,"undirected"
115,77,1,"undirected"
116,77,1,"undirected"
122,77,1,"undirected"
123,77,1,"undirected"
125,77,1,"undirected"
132,77,1,"undirected"
35,77,1,"undirected"
49,77,1,"undirected"
68,77,0.874433728175393,"undirected"
74,77,0.849741103802239,"undirected"
75,77,0.75786613331064,"undirected"
65,80,0.781464845876908,"undirected"
115,82,0.930772005166638,"undirected"
116,82,0.930772005166638,"undirected"
122,82,0.930772005166638,"undirected"
123,82,0.930772005166638,"undirected"
125,82,0.930772005166638,"undirected"
132,82,0.930772005166638,"undirected"
35,82,0.930772005166638,"undirected"
49,82,0.930772005166638,"undirected"
68,82,0.803464959154736,"undirected"
74,82,0.779577320614197,"undirected"
77,82,0.930772005166638,"undirected"
73,84,1,"undirected"
115,93,1,"undirected"
116,93,1,"undirected"
122,93,1,"undirected"
123,93,1,"undirected"
125,93,1,"undirected"
132,93,1,"undirected"
35,93,1,"undirected"
49,93,1,"undirected"
68,93,0.874433728175393,"undirected"
74,93,0.849741103802239,"undirected"
75,93,0.75786613331064,"undirected"
77,93,1,"undirected"
82,93,0.930772005166638,"undirected"
30,99,0.762903159676504,"undirected"
20,100,1,"undirected"
48,100,1,"undirected"
73,102,0.810745792634002,"undirected"
84,102,0.810745792634002,"undirected"
1,105,1,"undirected"
25,105,0.97240361855265,"undirected"
30,106,0.851637794134385,"undirected"
37,136,0.863260526876043,"undirected"
39,136,0.872131697968302,"undirected"
68,136,0.764653916657106,"undirected"
74,136,0.766162223387695,"undirected"
75,136,0.758819450924119,"undirected"
115,139,1,"undirected"
116,139,1,"undirected"
122,139,1,"undirected"
123,139,1,"undirected"
125,139,1,"undirected"
132,139,1,"undirected"
35,139,1,"undirected"
49,139,1,"undirected"
68,139,0.874433728175393,"undirected"
74,139,0.849741103802239,"undirected"
75,139,0.75786613331064,"undirected"
77,139,1,"undirected"
82,139,0.930772005166638,"undirected"
93,139,1,"undirected"
65,142,1,"undirected"
80,142,0.781464845876908,"undirected"
115,144,0.941024474721772,"undirected"
116,144,0.941024474721772,"undirected"
122,144,0.941024474721772,"undirected"
123,144,0.941024474721771,"undirected"
125,144,0.941024474721772,"undirected"
132,144,0.941024474721772,"undirected"
35,144,0.941024474721772,"undirected"
37,144,0.826060367327922,"undirected"
49,144,0.941024474721772,"undirected"
68,144,0.985037857298833,"undirected"
74,144,0.975859717518696,"undirected"
75,144,0.931258295061519,"undirected"
