"Source","Target","Correlation","Type"
109,112,0.945789471835823,"undirected"
109,114,0.806645899734056,"undirected"
112,114,0.787521635080032,"undirected"
119,120,0.964412361155503,"undirected"
119,121,0.964412361155503,"undirected"
120,121,1,"undirected"
119,122,0.964412361155502,"undirected"
120,122,1,"undirected"
121,122,1,"undirected"
119,123,0.964412361155503,"undirected"
120,123,1,"undirected"
121,123,1,"undirected"
122,123,1,"undirected"
119,124,0.872122373108012,"undirected"
120,124,0.910599290576291,"undirected"
121,124,0.910599290576291,"undirected"
122,124,0.910599290576291,"undirected"
123,124,0.910599290576291,"undirected"
119,125,0.952860384152242,"undirected"
120,125,0.990153843984545,"undirected"
121,125,0.990153843984545,"undirected"
122,125,0.990153843984545,"undirected"
123,125,0.990153843984545,"undirected"
124,125,0.89841928730082,"undirected"
119,7,0.958516632692378,"undirected"
120,7,0.899000407255393,"undirected"
121,7,0.899000407255394,"undirected"
122,7,0.899000407255393,"undirected"
123,7,0.899000407255394,"undirected"
124,7,0.804168574693906,"undirected"
125,7,0.924964209553851,"undirected"
119,8,0.964412361155502,"undirected"
120,8,1,"undirected"
121,8,1,"undirected"
122,8,1,"undirected"
123,8,1,"undirected"
124,8,0.910599290576291,"undirected"
125,8,0.990153843984545,"undirected"
7,8,0.899000407255393,"undirected"
119,9,0.964412361155503,"undirected"
120,9,1,"undirected"
121,9,1,"undirected"
122,9,1,"undirected"
123,9,1,"undirected"
124,9,0.910599290576291,"undirected"
125,9,0.990153843984545,"undirected"
7,9,0.899000407255394,"undirected"
8,9,1,"undirected"
119,10,0.882060053072973,"undirected"
120,10,0.920558164523759,"undirected"
121,10,0.920558164523759,"undirected"
122,10,0.920558164523759,"undirected"
123,10,0.920558164523759,"undirected"
124,10,0.829291083915697,"undirected"
125,10,0.908456521566197,"undirected"
7,10,0.813915323815989,"undirected"
8,10,0.920558164523759,"undirected"
9,10,0.920558164523759,"undirected"
119,14,0.964412361155503,"undirected"
120,14,1,"undirected"
121,14,1,"undirected"
122,14,1,"undirected"
123,14,1,"undirected"
124,14,0.910599290576291,"undirected"
125,14,0.990153843984545,"undirected"
7,14,0.899000407255393,"undirected"
8,14,1,"undirected"
9,14,1,"undirected"
10,14,0.920558164523759,"undirected"
119,15,0.958968430859384,"undirected"
120,15,0.995756806002765,"undirected"
121,15,0.995756806002765,"undirected"
122,15,0.995756806002765,"undirected"
123,15,0.995756806002765,"undirected"
124,15,0.944767999646552,"undirected"
125,15,0.985236772951073,"undirected"
7,15,0.891965965731419,"undirected"
8,15,0.995756806002765,"undirected"
9,15,0.995756806002765,"undirected"
10,15,0.91465511259149,"undirected"
14,15,0.995756806002765,"undirected"
119,16,0.964412361155503,"undirected"
120,16,1,"undirected"
121,16,1,"undirected"
122,16,1,"undirected"
123,16,1,"undirected"
124,16,0.910599290576291,"undirected"
125,16,0.990153843984545,"undirected"
7,16,0.899000407255394,"undirected"
8,16,1,"undirected"
9,16,1,"undirected"
10,16,0.920558164523759,"undirected"
14,16,1,"undirected"
15,16,0.995756806002765,"undirected"
119,17,0.930994966627335,"undirected"
120,17,0.969106130507908,"undirected"
121,17,0.969106130507908,"undirected"
122,17,0.969106130507908,"undirected"
123,17,0.969106130507908,"undirected"
124,17,0.876804264466912,"undirected"
125,17,0.957646044244461,"undirected"
7,17,0.862597010776574,"undirected"
8,17,0.969106130507908,"undirected"
9,17,0.969106130507908,"undirected"
10,17,0.886766308423107,"undirected"
14,17,0.969106130507908,"undirected"
15,17,0.963733073455005,"undirected"
16,17,0.969106130507908,"undirected"
119,22,0.964412361155503,"undirected"
120,22,1,"undirected"
121,22,1,"undirected"
122,22,1,"undirected"
123,22,1,"undirected"
124,22,0.910599290576291,"undirected"
125,22,0.990153843984545,"undirected"
7,22,0.899000407255393,"undirected"
8,22,1,"undirected"
