Id,Label,timeset,abundance,type,class,gene,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
1,2024 Branch,,449.82,ARG,Aminoglycoside,2024 Branch,1,1,1,1,1,0,0,0,0,0.005013,0,0,0,0.000267
175,Acidithiobacillus,,3.45,Taxa,Acidithiobacillaceae,Acidithiobacillus,1,1,1,1,1,0,0,0,0,0.005013,0,0,0,0.000267
31,acrD,,1645.86,ARG,MDR,acrD,47,33.241053,5,0.424821,0.540824,543.0951,0.148987,0.148987,5,0.00833,1,0.763182,825,0.937982
50,acrE,,1574.62,ARG,MDR,acrE,43,35.089585,5,0.419811,0.535861,142.063948,0.148938,0.148938,5,0.006888,1,0.909192,821,0.937297
23,acrF,,2371.47,ARG,MDR,acrF,41,30.660575,5,0.43309,0.538202,414.357257,0.136538,0.136538,5,0.006941,1,0.839024,688,0.860091
53,arnA,,667.38,ARG,Polymyxin,arnA,46,38.861025,4,0.445,0.552434,69.222899,0.157079,0.157079,5,0.007312,1,0.882126,913,0.987962
4,bacA,,925.85,ARG,Bacitracin,bacA,9,6.590589,5,0.335849,0.389139,151.237743,0.004966,0.004966,4,0.003891,1,0.583333,21,0.035658
14,blaACI 1,,52379.5,ARG,Beta-lactam,blaACI 1,36,21.382859,5,0.402715,0.501311,413.246523,0.118045,0.118045,5,0.006353,1,0.811111,511,0.742998
176,Actinobacteria_u_g,,16.1,Taxa,Actinobacteria_u_f,Actinobacteria_u_g,15,9.543735,6,0.345631,0.411985,225.122088,0.004704,0.004704,7,0.004929,1,0.571429,60,0.043571
82,blc,,441.59,ARG,Beta-lactam,blc,14,12.121605,6,0.305317,0.364888,13.309048,0.000834,0.000834,7,0.004696,1,0.901099,82,0.021256
263,Acidipropionibacterium,,62.02,Taxa,Propionibacteriaceae,Acidipropionibacterium,8,6.110144,5,0.328413,0.371067,433.442258,0.001755,0.001755,2,0.004847,1,0.607143,17,0.015355
187,Brachyspira,,2.46,Taxa,Brachyspiraceae,Brachyspira,9,6.058682,5,0.298157,0.338858,460.112443,0.00086,0.00086,2,0.005985,1,0.361111,13,0.009574
195,Caloramator,,21.3,Taxa,Clostridiaceae,Caloramator,11,6.847523,5,0.358871,0.409082,468.217506,0.003728,0.003728,9,0.004545,1,0.436364,24,0.032299
189,Campylobacter,,2.52,Taxa,Campylobacteraceae,Campylobacter,4,3.382825,6,0.231169,0.25618,4.882146,0.000041,0.000041,2,0.003493,1,0.833333,5,0.001975
20,baeR,,677.67,ARG,MDR,baeR,15,11.554274,5,0.365503,0.425749,61.986223,0.005379,0.005379,9,0.005181,1,0.790476,83,0.049065
173,Candidatus Phytoplasma,,1.51,Taxa,Acholeplasmataceae,Candidatus Phytoplasma,15,11.554274,5,0.365503,0.425749,61.986223,0.005379,0.005379,9,0.005181,1,0.790476,83,0.049065
192,Catabacter,,2115.44,Taxa,Catabacteriaceae,Catabacter,7,4.883909,5,0.313933,0.350749,48.418464,0.000235,0.000235,9,0.003474,1,0.809524,17,0.007982
219,Cetobacterium,,10.93,Taxa,Fusobacteriaceae,Cetobacterium,32,17.58563,5,0.388646,0.479401,904.582595,0.090032,0.090032,2,0.006577,1,0.612903,304,0.570468
180,Anaeromyxobacter,,1.42,Taxa,Anaeromyxobacteraceae,Anaeromyxobacter,12,9.424971,6,0.361789,0.415449,223.984356,0.002621,0.002621,2,0.004662,1,0.727273,48,0.026817
6,cfxA 2367,,69468,ARG,Beta-lactam,cfxA 2367,3,2.083465,6,0.256854,0.281086,0,0.000416,0.000416,1,0.002399,1,1,3,0.003587
97,cfxA 32395282,,58478,ARG,Beta-lactam,cfxA 32395282,4,2.424123,6,0.2848,0.326592,52.40776,0.002785,0.002785,1,0.002691,1,0.5,3,0.018724
74,cfxA 33413459,,120776.87,ARG,Beta-lactam,cfxA 33413459,3,1.909829,6,0.256854,0.281086,0,0.000416,0.000416,1,0.002399,1,1,3,0.003587
183,Bacillus,,360.31,Taxa,Bacillaceae,Bacillus,9,6.918924,6,0.278125,0.326779,51.025102,0.000541,0.000541,6,0.0041,1,0.833333,30,0.01034
196,Clostridiales Family XIII. Incertae Sedis_u_g,,12590.06,Taxa,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis_u_g,17,10.265418,5,0.340344,0.403933,633.150905,0.001763,0.001763,9,0.006316,1,0.448529,61,0.027676
226,Coprococcus,,554.59,Taxa,Lachnospiraceae,Coprococcus,43,26.977455,5,0.414918,0.527341,245.958433,0.136772,0.136772,5,0.007468,1,0.771872,697,0.861027
200,Corynebacterium,,797.23,Taxa,Corynebacteriaceae,Corynebacterium,11,6.525924,6,0.28254,0.336049,236.364302,0.000557,0.000557,6,0.005484,1,0.672727,37,0.011438
194,Butyricicoccus,,243.85,Taxa,Clostridiaceae,Butyricicoccus,1,0.533497,7,0.22057,0.242657,0,0.000013,0.000013,6,0.001176,1,0,0,0.000859
59,cpxA,,3458.36,ARG,MDR,cpxA,18,12.030406,5,0.37395,0.442041,74.925252,0.033178,0.033178,3,0.004091,1,0.620915,95,0.220265
