Id,Label,timeset,abundance,type,class,gene,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
176,Actinobacteria_u_g,,4.41,Taxa,Actinobacteria_u_f,Actinobacteria_u_g,7,5.077732,7,0.270115,0.325279,94.891131,0.004881,0.004881,2,0.005999,0,0.380952,8,0.027009
193,Alkaliphilus,,15.26,Taxa,Clostridiaceae,Alkaliphilus,2,1.195934,8,0.222749,0.256493,0,0.000752,0.000752,2,0.002309,0,1,1,0.005639
179,Alphaproteobacteria_u_g,,26.73,Taxa,Alphaproteobacteria_u_f,Alphaproteobacteria_u_g,7,4.596794,7,0.284848,0.352229,174.519306,0.011465,0.011465,2,0.005587,0,0.333333,7,0.052786
50,acrE,,483.95,ARG,MDR,acrE,15,12.341612,5,0.380054,0.446099,133.902867,0.021198,0.021198,8,0.006849,0,0.819048,86,0.166679
180,Anaeromyxobacter,,2.56,Taxa,Anaeromyxobacteraceae,Anaeromyxobacter,11,6.723041,6,0.306522,0.360993,175.915457,0.009143,0.009143,8,0.005802,0,0.672727,37,0.092552
252,Anaerococcus,,3.15,Taxa,Peptoniphilaceae,Anaerococcus,22,17.973585,6,0.378016,0.473522,97.998729,0.15676,0.15676,6,0.007466,0,0.809524,187,0.648989
81,astA,,993.24,Virulence,N-succinyltransferase,astA,33,23.967423,6,0.377005,0.499527,427.850102,0.239619,0.239619,0,0.010527,0,0.55303,292,0.971945
175,Acidithiobacillus,,29.38,Taxa,Acidithiobacillaceae,Acidithiobacillus,4,2.232382,6,0.286004,0.320449,25.006759,0.000391,0.000391,7,0.003175,0,0.666667,4,0.01416
183,Bacillus,,912.45,Taxa,Bacillaceae,Bacillus,11,6.411928,6,0.306522,0.363712,66.015008,0.002202,0.002202,7,0.006063,0,0.618182,34,0.071332
82,blc,,5157.49,ARG,Beta-lactam,blc,3,2.129453,7,0.255435,0.295255,10.216529,0.003782,0.003782,2,0.002746,0,0.666667,2,0.019065
90,blc 3334641,,5068.24,ARG,Beta-lactam,blc 3334641,5,3.086607,6,0.274854,0.318203,142.86228,0.001378,0.001378,2,0.004232,0,0.3,3,0.014697
194,Butyricicoccus,,267.27,Taxa,Clostridiaceae,Butyricicoccus,9,5.18176,5,0.360614,0.412293,518.197769,0.059789,0.059789,7,0.004101,0,0.5,18,0.24928
192,Catabacter,,2430.24,Taxa,Catabacteriaceae,Catabacter,8,4.706099,5,0.356061,0.409811,203.586845,0.011196,0.011196,7,0.004387,0,0.321429,9,0.076489
195,Caloramator,,10.48,Taxa,Clostridiaceae,Caloramator,5,2.94044,7,0.238983,0.276022,140.25,0.000061,0.000061,3,0.005588,0,0.5,5,0.00936
219,Cetobacterium,,2.59,Taxa,Fusobacteriaceae,Cetobacterium,10,6.55303,6,0.30989,0.368676,436.891453,0.000553,0.000553,3,0.008601,0,0.377778,17,0.02385
14,blaACI 1,,58737.97,ARG,Beta-lactam,blaACI 1,8,4.886849,7,0.293139,0.355167,179.731291,0.007938,0.007938,2,0.004695,0,0.714286,20,0.051284
5,cfxA 2366,,30289.61,ARG,Beta-lactam,cfxA 2366,7,5.028393,7,0.258716,0.304677,8.224803,0.002462,0.002462,2,0.004375,0,0.952381,20,0.026708
97,cfxA 32395282,,80216.39,ARG,Beta-lactam,cfxA 32395282,5,2.704454,6,0.273786,0.306974,118.335566,0.000337,0.000337,3,0.004887,0,0.5,5,0.010494
6,cfxA 2367,,133801.87,ARG,Beta-lactam,cfxA 2367,2,1.175304,6,0.290123,0.320686,144.233854,0.006003,0.006003,3,0.002057,0,0,0,0.026223
74,cfxA 33413459,,184104.85,ARG,Beta-lactam,cfxA 33413459,14,8.139948,6,0.319005,0.39539,6.689593,0.098767,0.098767,6,0.005091,0,0.945055,86,0.406158
196,Clostridiales Family XIII. Incertae Sedis_u_g,,4204.11,Taxa,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis_u_g,14,8.63881,6,0.332547,0.403546,145.894254,0.007911,0.007911,7,0.007115,0,0.472527,43,0.104358
18,blaCMY 27,,5522.98,ARG,Beta-lactam,blaCMY 27,10,8.171425,7,0.272201,0.329855,5.404891,0.000259,0.000259,4,0.005849,0,0.911111,41,0.035904
83,cmy-13,,2474.33,ARG,Beta-lactam,cmy-13,9,6.345219,7,0.267045,0.320044,3.41404,0.000211,0.000211,4,0.005355,0,0.944444,34,0.032358
199,Collinsella,,271.49,Taxa,Coriobacteriaceae,Collinsella,10,7.981514,7,0.272201,0.329855,5.404891,0.000259,0.000259,4,0.005849,0,0.911111,41,0.035904
186,Bacteroidales_u_g,,36327.34,Taxa,Bacteroidales_u_f,Bacteroidales_u_g,1,0.525087,7,0.230769,0.251503,0,0.000021,0.000021,4,0.001712,0,0,0,0.001855
200,Corynebacterium,,608.68,Taxa,Corynebacteriaceae,Corynebacterium,7,3.875318,6,0.299363,0.347163,499.730225,0.000465,0.000465,4,0.006673,0,0.142857,3,0.014909
187,Brachyspira,,3.03,Taxa,Brachyspiraceae,Brachyspira,6,3.883678,6,0.30064,0.344917,111.69662,0.000875,0.000875,4,0.004558,0,0.4,6,0.021305
9,cfxA6,,50403.13,ARG,Beta-lactam,cfxA6,7,4.18115,6,0.312639,0.361466,109.297272,0.000998,0.000998,7,0.00506,0,0.428571,9,0.030386
59,cpxA,,1569.47,ARG,MDR,cpxA,19,16.605073,6,0.322654,0.420331,1.847108,0.143456,0.143456,0,0.006405,0,0.97076,166,0.578354
55,crp,,2360.17,ARG,MDR,crp,26,20.425105,6,0.371053,0.475887,120.242775,0.190752,0.190752,6,0.008534,0,0.649231,211,0.780214
181,Atopobium,,117.66,Taxa,Atopobiaceae,Atopobium,13,7.730838,6,0.305857,0.373522,352.551579,0.00372,0.00372,7,0.006739,0,0.487179,38,0.081468
264,Cutibacterium,,15.98,Taxa,Propionibacteriaceae,Cutibacterium,9,7.203529,6,0.311947,0.371158,60.976881,0.008262,0.008262,2,0.005182,0,0.805556,29,0.056397
201,Cytophaga,,5.89,Taxa,Cytophagaceae,Cytophaga,7,4.220225,5,0.327907,0.375414,540.253049,0.013144,0.013144,4,0.004373,0,0.285714,6,0.066765
203,Deinococcus-Thermus_u_g,,2.83,Taxa,Deinococcus-Thermus_u_f,Deinococcus-Thermus_u_g,15,11.710931,6,0.341404,0.415721,77.776622,0.005596,0.005596,7,0.007374,0,0.752381,79,0.11672
204,Desulfobulbus,,2.69,Taxa,Desulfobulbaceae,Desulfobulbus,12,8.087849,7,0.288934,0.355978,81.047827,0.00216,0.00216,7,0.006611,0,0.621212,41,0.07503
205,Desulfomicrobium,,4.92,Taxa,Desulfomicrobiaceae,Desulfomicrobium,15,9.231043,6,0.322654,0.397754,439.584804,0.076005,0.076005,6,0.006981,0,0.542857,57,0.317835
250,Desulfotomaculum,,3.78,Taxa,Peptococcaceae,Desulfotomaculum,6,3.849493,7,0.272201,0.316734,191.972472,0.000143,0.000143,3,0.005444,0,0.266667,4,0.012968
173,Candidatus Phytoplasma,,4.82,Taxa,Acholeplasmataceae,Candidatus Phytoplasma,3,2.527557,8,0.223455,0.253183,0,0.000953,0.000953,1,0.002807,0,1,3,0.007673
227,Dorea,,4.21,Taxa,Lachnospiraceae,Dorea,5,3.989102,7,0.286004,0.337065,59.108294,0.006906,0.006906,1,0.003735,0,0.7,7,0.036862
65,emrB,,2563.21,ARG,MDR,emrB,31,20.258932,6,0.371053,0.489598,872.880675,0.17577,0.17577,0,0.010733,0,0.48172,224,0.759751
104,Enterobacteria phage BP-4795,,25.92,Phage,Siphoviridae,Enterobacteria phage BP-4795,5,4.0517,7,0.286004,0.337065,59.108294,0.006906,0.006906,1,0.003735,0,0.7,7,0.036862
118,Enterobacteria phage cdtI,,46.43,Phage,Siphoviridae,Enterobacteria phage cdtI,21,17.732457,6,0.327907,0.431324,10.446409,0.161113,0.161113,0,0.006965,0,0.87619,184,0.649806
106,Enterobacteria phage HK140,,3.14,Phage,Siphoviridae,Enterobacteria phage HK140,19,16.605073,6,0.322654,0.420331,1.847108,0.143456,0.143456,0,0.006405,0,0.97076,166,0.578354
110,Enterobacteria phage IME10,,41.16,Phage,Podoviridae,Enterobacteria phage IME10,23,19.010098,6,0.330986,0.440189,28.821641,0.175793,0.175793,0,0.007536,0,0.778656,197,0.70922
123,Enterobacteria phage mEp460,,29.83,Phage,Siphoviridae,Enterobacteria phage mEp460,22,17.676282,6,0.334917,0.443144,373.776781,0.153577,0.153577,0,0.00821,0,0.766234,177,0.621085
112,Enterobacteria phage P4,,56.54,Phage,Caudovirales_u_f,Enterobacteria phage P4,19,14.667411,6,0.342233,0.43156,6.936889,0.146388,0.146388,6,0.006411,0,0.929825,159,0.598438
