Id,Label,timeset,abundance,type,class,gene,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,pageranks,clustering,triangles,eigencentrality
1,2024 Branch,,0,ARG,Aminoglycoside,2024 Branch,0,0,0,0,0,0,0,0,0,0,0.000704,0,0,0
2,a 2394 Branch,,966.65,ARG,Aminoglycoside,a 2394 Branch,0,0,0,0,0,0,0,0,1,1,0.000704,0,0,0
3,ant6 Ib,,2506.62,ARG,Aminoglycoside,ant6 Ib,4,2.731989,7,0.33,0.39525,98.958252,0.000937,0.000937,24,2,0.002537,0.5,3,0.00992
4,bacA,,1631.07,ARG,Bacitracin,bacA,106,100.123418,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
5,cfxA 2366,,59609.87,ARG,Beta-lactam,cfxA 2366,3,1.713302,7,0.202869,0.221092,0,0,0,24,2,0.003099,1,3,0.000376
6,cfxA 2367,,122312.27,ARG,Beta-lactam,cfxA 2367,4,2.413945,7,0.244444,0.268927,3.44881,0.000001,0.000001,87,2,0.003517,0.666667,4,0.000503
7,cfxA2,,0,ARG,Beta-lactam,cfxA2,0,0,0,0,0,0,0,0,2,3,0.000704,0,0,0
8,cfxA3,,0,ARG,Beta-lactam,cfxA3,0,0,0,0,0,0,0,0,3,4,0.000704,0,0,0
9,cfxA6,,36558.22,ARG,Beta-lactam,cfxA6,3,1.637012,7,0.303681,0.329678,60.775665,0.000009,0.000009,87,2,0.002301,0.333333,1,0.000529
10,pbp2,,1313.71,ARG,Beta-lactam,pbp2,105,98.416106,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
11,pbp4,,0,ARG,Beta-lactam,pbp4,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
12,bla 1029 Branch,,0,ARG,Beta-lactam,bla 1029 Branch,0,0,0,0,0,0,0,0,4,5,0.000704,0,0,0
13,bla 1030 Branch,,0,ARG,Beta-lactam,bla 1030 Branch,0,0,0,0,0,0,0,0,5,6,0.000704,0,0,0
14,blaACI 1,,37313.69,ARG,Beta-lactam,blaACI 1,4,2.015503,8,0.243842,0.283207,0,0.00006,0.00006,49,2,0.001994,1,6,0.001096
