"Label","Target","Correlation","p","Type"
"transposon 46242809","lacY",0.795946262577022,2.70332756682201e-05,"undirected"
"rteC","acrD",1,0,"undirected"
"rteC","acrE",1,0,"undirected"
"acrD","acrE",1,0,"undirected"
"transposon 46242809","bacA",0.978388429120028,9.03721542044877e-14,"undirected"
"lacY","bacA",0.820244046538307,9.49751448375835e-06,"undirected"
"baeR","baeS",1,0,"undirected"
"Plasmid 38606113","bla 1029 Branch",0.830976093972362,5.68955363311474e-06,"undirected"
"repB","blaCMY 111",0.806323273022018,1.76023781905954e-05,"undirected"
"repB","blaCMY 32",0.806323273022018,1.76023781905954e-05,"undirected"
"blaCMY 111","blaCMY 32",1,0,"undirected"
"cfxA 2366","cpxA",0.884332186512992,2.29676008656199e-07,"undirected"
"rteC","emrA",1,0,"undirected"
"acrD","emrA",1,0,"undirected"
"acrE","emrA",1,0,"undirected"
"catB4","emrK",1,0,"undirected"
"catB4","emrR",0.822986574685744,8.35883692218431e-06,"undirected"
"emrK","emrR",0.822986574685744,8.35883692218431e-06,"undirected"
"transposon 46242809","emrY",0.978388429120028,9.03721542044877e-14,"undirected"
"lacY","emrY",0.820244046538307,9.49751448375835e-06,"undirected"
"bacA","emrY",1,0,"undirected"
"cpxR","marA",0.762126435767394,9.40009336773961e-05,"undirected"
"crp","mdtD",1,0,"undirected"
"marA","mdtE",0.757553096797121,0.000109554656570587,"undirected"
"catB4","mdtN",0.762917890972827,9.15118285615968e-05,"undirected"
"emrK","mdtN",0.762917890972827,9.15118285615968e-05,"undirected"
"catB4","mdtP",1,0,"undirected"
"emrK","mdtP",1,0,"undirected"
"emrR","mdtP",0.822986574685744,8.35883692218431e-06,"undirected"
"mdtN","mdtP",0.762917890972827,9.15118285615968e-05,"undirected"
"cfxA3","pmrE",1,0,"undirected"
"marA","tetAP",0.768074838666001,7.66380493550933e-05,"undirected"
"catB4","tetBP",1,0,"undirected"
"emrK","tetBP",1,0,"undirected"
"emrR","tetBP",0.822986574685744,8.35883692218431e-06,"undirected"
"mdtN","tetBP",0.762917890972827,9.15118285615968e-05,"undirected"
"mdtP","tetBP",1,0,"undirected"
"bcrA","tetL",0.808465942711967,1.60593621796323e-05,"undirected"
"tetL","tetL-Ef",0.89615826325332,9.09753556932458e-08,"undirected"
"baeR","blc",0.818994324113455,1.00595529080039e-05,"undirected"
"baeS","blc",0.818994324113455,1.00595529080039e-05,"undirected"
"Plasmid 38606113","cmy-13",0.814687160703665,1.22239729702933e-05,"undirected"
"baeR","sugE",0.812092208697266,1.37141679092956e-05,"undirected"
"baeS","sugE",0.812092208697266,1.37141679092956e-05,"undirected"
"blc","sugE",0.812229937559054,1.36312912797365e-05,"undirected"
"blc","blc 3334641",0.810319385161047,1.48206228072212e-05,"undirected"
"Plasmid 38606113","Enterobacteria phage BP-4795",0.95464009405993,6.54629683793928e-11,"undirected"
"bla 1029 Branch","Enterobacteria phage BP-4795",0.77989129010253,5.01675110586852e-05,"undirected"
"cmy-13","Enterobacteria phage BP-4795",0.768140112480006,7.64640090424873e-05,"undirected"
"baeR","Enterobacteria phage HK140",1,0,"undirected"
"baeS","Enterobacteria phage HK140",1,0,"undirected"
"blc","Enterobacteria phage HK140",0.818994324113456,1.00595529080039e-05,"undirected"
"sugE","Enterobacteria phage HK140",0.812092208697266,1.37141679092956e-05,"undirected"
"repB","Escherichia virus HK633",0.806323273022018,1.76023781905954e-05,"undirected"
"blaCMY 111","Escherichia virus HK633",1,0,"undirected"
"blaCMY 32","Escherichia virus HK633",1,0,"undirected"
"pmrA","Enterobacteria phage IME10",0.883547522092448,2.43361885754467e-07,"undirected"
"marA","Escherichia virus If1",0.922366758181403,7.32132754421855e-09,"undirected"
"mdtE","Escherichia virus If1",0.852263332235125,1.83890464855452e-06,"undirected"
"mdtN","Enterobacteria phage P4",0.82099509974309,9.17303573255701e-06,"undirected"
"pmrA","Enterobacteria phage P4",0.943073293103553,4.84520867871652e-10,"undirected"
"Enterobacteria phage IME10","Enterobacteria phage P4",0.886628065045173,1.93429084749397e-07,"undirected"
"cpxR","Enterobacteria phage Sf101",0.79436179384192,2.8802202961975e-05,"undirected"
"marA","Enterobacteria phage Sf101",0.966592986699319,4.36006786230791e-12,"undirected"
