"Label","id","Abundance","Type","Class","Gene"
"2024 Branch",1,565.83,"ARG","Aminoglycoside","2024 Branch"
"2429 Branch",2,0,"ARG","Other","2429 Branch"
"a 2394 Branch",3,669.53,"ARG","Aminoglycoside","a 2394 Branch"
"aac6 lm",4,0,"ARG","Aminoglycoside","aac6 lm"
"aadA9",5,0,"ARG","Aminoglycoside","aadA9"
"aadD",6,0,"ARG","Aminoglycoside","aadD"
"acrD",7,0,"ARG","MDR","acrD"
"acrE",8,2945.74,"ARG","MDR","acrE"
"acrF",9,0,"ARG","MDR","acrF"
"acrS",10,3846.82,"ARG","MDR","acrS"
"ant6 Ib",11,3372.36,"ARG","Aminoglycoside","ant6 Ib"
"aph3 III",12,1386.04,"ARG","Aminoglycoside","aph3 III"
"aph6 Id",13,628.44,"ARG","Aminoglycoside","aph6 Id"
"arnA",14,0,"ARG","Polymyxin","arnA"
"bacA",15,1277.21,"ARG","Bacitracin","bacA"
"baeR",16,2128.4,"ARG","MDR","baeR"
"baeS",17,1827.07,"ARG","MDR","baeS"
"bcrA",18,0,"ARG","Bacitracin","bcrA"
"bla 1029 Branch",19,1260.7,"ARG","Beta-lactam","bla 1029 Branch"
"bla 1030 Branch",20,4263.74,"ARG","Beta-lactam","bla 1030 Branch"
"blaACI 1",21,57990.65,"ARG","Beta-lactam","blaACI 1"
"blaAmpC",22,0,"ARG","Beta-lactam","blaAmpC"
"blaAmpH",23,0,"ARG","Beta-lactam","blaAmpH"
"blaCMY 111",24,0,"ARG","Beta-lactam","blaCMY 111"
"blaCMY 27",25,879.36,"ARG","Beta-lactam","blaCMY 27"
"blaCMY 32",26,0,"ARG","Beta-lactam","blaCMY 32"
"bmr",27,0,"ARG","MDR","bmr"
"catB4",28,0,"ARG","Phenicol","catB4"
"cfxA 2366",29,61685.76,"ARG","Beta-lactam","cfxA 2366"
"cfxA 2367",30,96593.51,"ARG","Beta-lactam","cfxA 2367"
"cfxA2",31,0,"ARG","Beta-lactam","cfxA2"
"cfxA3",32,0,"ARG","Beta-lactam","cfxA3"
"cfxA6",33,28465.31,"ARG","Beta-lactam","cfxA6"
"clbC",34,0,"ARG","Macrolide","clbC"
"cpxA",35,1136.45,"ARG","MDR","cpxA"
"cpxR",36,1948.63,"ARG","MDR","cpxR"
"crp",37,1711.68,"ARG","MDR","crp"
"emrA",38,738.77,"ARG","MDR","emrA"
"emrB",39,2209.73,"ARG","MDR","emrB"
"emrE",40,851.02,"ARG","MDR","emrE"
"emrK",41,1919.78,"ARG","Tetracycline","emrK"
"emrR",42,0,"ARG","MDR","emrR"
"emrY",43,582.7,"ARG","MDR","emrY"
"ermC",44,721,"ARG","Macrolide","ermC"
"ermG",45,745,"ARG","Macrolide","ermG"
"ermQ",46,0,"ARG","Macrolide","ermQ"
