"Label","Target","Correlation","p","Type"
"int","traF",0.945789471835823,3.15186987620564e-10,"undirected"
"int","transposon 46242811",0.806645899734056,1.7362136374377e-05,"undirected"
"traF","transposon 46242811",0.787521635080032,3.76373542134711e-05,"undirected"
"astA","lacY",0.964412361155503,7.64144303389003e-12,"undirected"
"astA","lpfA",0.964412361155503,7.64144303389003e-12,"undirected"
"lacY","lpfA",1,0,"undirected"
"astA","ompA",0.964412361155502,7.64144303389003e-12,"undirected"
"lacY","ompA",1,0,"undirected"
"lpfA","ompA",1,0,"undirected"
"astA","traA",0.964412361155503,7.64144303389003e-12,"undirected"
"lacY","traA",1,0,"undirected"
"lpfA","traA",1,0,"undirected"
"ompA","traA",1,0,"undirected"
"astA","yddA",0.872122373108012,5.41062641801204e-07,"undirected"
"lacY","yddA",0.910599290576291,2.49556211251445e-08,"undirected"
"lpfA","yddA",0.910599290576291,2.49556211251445e-08,"undirected"
"ompA","yddA",0.910599290576291,2.49556211251445e-08,"undirected"
"traA","yddA",0.910599290576291,2.49556211251445e-08,"undirected"
"astA","Plasmid 38606113",0.952860384152242,9.19566645052328e-11,"undirected"
"lacY","Plasmid 38606113",0.990153843984545,0,"undirected"
"lpfA","Plasmid 38606113",0.990153843984545,0,"undirected"
"ompA","Plasmid 38606113",0.990153843984545,0,"undirected"
"traA","Plasmid 38606113",0.990153843984545,0,"undirected"
"yddA","Plasmid 38606113",0.89841928730082,7.52610547216648e-08,"undirected"
"astA","acrD",0.958516632692378,2.97157853879071e-11,"undirected"
"lacY","acrD",0.899000407255393,7.16298618197442e-08,"undirected"
"lpfA","acrD",0.899000407255394,7.16298618197442e-08,"undirected"
"ompA","acrD",0.899000407255393,7.16298618197442e-08,"undirected"
"traA","acrD",0.899000407255394,7.16298618197442e-08,"undirected"
"yddA","acrD",0.804168574693906,1.92820032065555e-05,"undirected"
"Plasmid 38606113","acrD",0.924964209553851,5.44215428277539e-09,"undirected"
"astA","acrE",0.964412361155502,7.64144303389003e-12,"undirected"
"lacY","acrE",1,0,"undirected"
"lpfA","acrE",1,0,"undirected"
"ompA","acrE",1,0,"undirected"
"traA","acrE",1,0,"undirected"
"yddA","acrE",0.910599290576291,2.49556211251445e-08,"undirected"
"Plasmid 38606113","acrE",0.990153843984545,0,"undirected"
"acrD","acrE",0.899000407255393,7.16298618197442e-08,"undirected"
"astA","acrF",0.964412361155503,7.64144303389003e-12,"undirected"
"lacY","acrF",1,0,"undirected"
"lpfA","acrF",1,0,"undirected"
"ompA","acrF",1,0,"undirected"
"traA","acrF",1,0,"undirected"
"yddA","acrF",0.910599290576291,2.49556211251445e-08,"undirected"
"Plasmid 38606113","acrF",0.990153843984545,0,"undirected"
"acrD","acrF",0.899000407255394,7.16298618197442e-08,"undirected"
"acrE","acrF",1,0,"undirected"
"astA","acrS",0.882060053072973,2.71279944286107e-07,"undirected"
"lacY","acrS",0.920558164523759,8.94706353449237e-09,"undirected"
"lpfA","acrS",0.920558164523759,8.94706353449237e-09,"undirected"
"ompA","acrS",0.920558164523759,8.94706353449237e-09,"undirected"
"traA","acrS",0.920558164523759,8.94706353449237e-09,"undirected"
"yddA","acrS",0.829291083915697,6.18040710853585e-06,"undirected"
"Plasmid 38606113","acrS",0.908456521566197,3.06383385328957e-08,"undirected"
"acrD","acrS",0.813915323815989,1.26517661274139e-05,"undirected"
"acrE","acrS",0.920558164523759,8.94706353449237e-09,"undirected"
"acrF","acrS",0.920558164523759,8.94706353449237e-09,"undirected"
"astA","arnA",0.964412361155503,7.64144303389003e-12,"undirected"
"lacY","arnA",1,0,"undirected"
"lpfA","arnA",1,0,"undirected"
"ompA","arnA",1,0,"undirected"
"traA","arnA",1,0,"undirected"
"yddA","arnA",0.910599290576291,2.49556211251445e-08,"undirected"
"Plasmid 38606113","arnA",0.990153843984545,0,"undirected"
"acrD","arnA",0.899000407255393,7.16298618197442e-08,"undirected"
"acrE","arnA",1,0,"undirected"
"acrF","arnA",1,0,"undirected"
"acrS","arnA",0.920558164523759,8.94706353449237e-09,"undirected"
"astA","bacA",0.958968430859384,2.69713140710337e-11,"undirected"
"lacY","bacA",0.995756806002765,0,"undirected"
"lpfA","bacA",0.995756806002765,0,"undirected"
"ompA","bacA",0.995756806002765,0,"undirected"
"traA","bacA",0.995756806002765,0,"undirected"
"yddA","bacA",0.944767999646552,3.71447983482653e-10,"undirected"
"Plasmid 38606113","bacA",0.985236772951073,3.10862446895044e-15,"undirected"
"acrD","bacA",0.891965965731419,1.27868971189216e-07,"undirected"
"acrE","bacA",0.995756806002765,0,"undirected"
"acrF","bacA",0.995756806002765,0,"undirected"
"acrS","bacA",0.91465511259149,1.66831357617525e-08,"undirected"
"arnA","bacA",0.995756806002765,0,"undirected"
"astA","baeR",0.964412361155503,7.64144303389003e-12,"undirected"
"lacY","baeR",1,0,"undirected"
"lpfA","baeR",1,0,"undirected"
"ompA","baeR",1,0,"undirected"
"traA","baeR",1,0,"undirected"
"yddA","baeR",0.910599290576291,2.49556211251445e-08,"undirected"
"Plasmid 38606113","baeR",0.990153843984545,0,"undirected"
"acrD","baeR",0.899000407255394,7.16298618197442e-08,"undirected"
"acrE","baeR",1,0,"undirected"
"acrF","baeR",1,0,"undirected"
"acrS","baeR",0.920558164523759,8.94706353449237e-09,"undirected"
"arnA","baeR",1,0,"undirected"
"bacA","baeR",0.995756806002765,0,"undirected"
"astA","baeS",0.930994966627335,2.61819566027555e-09,"undirected"
"lacY","baeS",0.969106130507908,2.17648121747516e-12,"undirected"
"lpfA","baeS",0.969106130507908,2.17648121747516e-12,"undirected"
"ompA","baeS",0.969106130507908,2.17648121747516e-12,"undirected"
"traA","baeS",0.969106130507908,2.17648121747516e-12,"undirected"
"yddA","baeS",0.876804264466912,3.93713220914194e-07,"undirected"
"Plasmid 38606113","baeS",0.957646044244461,3.57092133640435e-11,"undirected"
"acrD","baeS",0.862597010776574,9.96097647920635e-07,"undirected"
"acrE","baeS",0.969106130507908,2.17648121747516e-12,"undirected"
"acrF","baeS",0.969106130507908,2.17648121747516e-12,"undirected"
"acrS","baeS",0.886766308423107,1.9141658258448e-07,"undirected"
"arnA","baeS",0.969106130507908,2.17648121747516e-12,"undirected"
"bacA","baeS",0.963733073455005,9.03677133123892e-12,"undirected"
"baeR","baeS",0.969106130507908,2.17648121747516e-12,"undirected"
"astA","blaAmpC",0.964412361155503,7.64144303389003e-12,"undirected"
"lacY","blaAmpC",1,0,"undirected"
"lpfA","blaAmpC",1,0,"undirected"
"ompA","blaAmpC",1,0,"undirected"
"traA","blaAmpC",1,0,"undirected"
"yddA","blaAmpC",0.910599290576291,2.49556211251445e-08,"undirected"
"Plasmid 38606113","blaAmpC",0.990153843984545,0,"undirected"
"acrD","blaAmpC",0.899000407255393,7.16298618197442e-08,"undirected"
"acrE","blaAmpC",1,0,"undirected"
"acrF","blaAmpC",1,0,"undirected"
"acrS","blaAmpC",0.920558164523759,8.94706353449237e-09,"undirected"
"arnA","blaAmpC",1,0,"undirected"
"bacA","blaAmpC",0.995756806002765,0,"undirected"
"baeR","blaAmpC",1,0,"undirected"
"baeS","blaAmpC",0.969106130507908,2.17648121747516e-12,"undirected"
"astA","blaAmpH",0.964412361155502,7.64144303389003e-12,"undirected"
"lacY","blaAmpH",1,0,"undirected"
"lpfA","blaAmpH",1,0,"undirected"
"ompA","blaAmpH",1,0,"undirected"
"traA","blaAmpH",1,0,"undirected"
"yddA","blaAmpH",0.910599290576291,2.49556211251445e-08,"undirected"
"Plasmid 38606113","blaAmpH",0.990153843984545,0,"undirected"
"acrD","blaAmpH",0.899000407255393,7.16298618197442e-08,"undirected"
"acrE","blaAmpH",1,0,"undirected"
"acrF","blaAmpH",1,0,"undirected"
"acrS","blaAmpH",0.920558164523759,8.94706353449237e-09,"undirected"
"arnA","blaAmpH",1,0,"undirected"
"bacA","blaAmpH",0.995756806002765,0,"undirected"
"baeR","blaAmpH",1,0,"undirected"
"baeS","blaAmpH",0.969106130507908,2.17648121747516e-12,"undirected"
"blaAmpC","blaAmpH",1,0,"undirected"
"astA","cpxA",0.907368254454872,3.39381289737872e-08,"undirected"
"lacY","cpxA",0.945797323659148,3.14785530974859e-10,"undirected"
"lpfA","cpxA",0.945797323659147,3.14785530974859e-10,"undirected"
"ompA","cpxA",0.945797323659147,3.14785530974859e-10,"undirected"
"traA","cpxA",0.945797323659147,3.14785530974859e-10,"undirected"
"yddA","cpxA",0.853785753009035,1.68502546715743e-06,"undirected"
"Plasmid 38606113","cpxA",0.981945527294548,1.82076576038526e-14,"undirected"
"acrD","cpxA",0.931043117570858,2.60226329373836e-09,"undirected"
"acrE","cpxA",0.945797323659148,3.14785530974859e-10,"undirected"
"acrF","cpxA",0.945797323659147,3.14785530974859e-10,"undirected"
"acrS","cpxA",0.863614111463327,9.35291922576909e-07,"undirected"
"arnA","cpxA",0.945797323659148,3.14785530974859e-10,"undirected"
"bacA","cpxA",0.940123820806761,7.55141504882317e-10,"undirected"
"baeR","cpxA",0.945797323659148,3.14785530974859e-10,"undirected"
"baeS","cpxA",0.912128011562997,2.14899504857868e-08,"undirected"
"blaAmpC","cpxA",0.945797323659148,3.14785530974859e-10,"undirected"
"blaAmpH","cpxA",0.945797323659147,3.14785530974859e-10,"undirected"
"astA","cpxR",0.886739784179378,1.91801283744297e-07,"undirected"
"lacY","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"lpfA","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"ompA","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"traA","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"yddA","cpxR",0.83165583856556,5.5013601820697e-06,"undirected"
"Plasmid 38606113","cpxR",0.927179554011992,4.18994527962013e-09,"undirected"
"acrD","cpxR",0.837021549818,4.19629743642069e-06,"undirected"
"acrE","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"acrF","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"acrS","cpxR",0.841683139413089,3.29038719382169e-06,"undirected"
"arnA","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"bacA","cpxR",0.921758317092655,7.83647613467053e-09,"undirected"
"baeR","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"baeS","cpxR",0.955898714451975,5.10520514751533e-11,"undirected"
"blaAmpC","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"blaAmpH","cpxR",0.928851547393276,3.42067929537393e-09,"undirected"
"cpxA","cpxR",0.895843895400478,9.3373819121112e-08,"undirected"
"astA","crp",0.781864108235279,4.66254155357948e-05,"undirected"
"lacY","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"lpfA","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"ompA","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"traA","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"Plasmid 38606113","crp",0.886319597368762,1.97986701699904e-07,"undirected"
"acrD","crp",0.862068141063284,1.02905984533663e-06,"undirected"
"acrE","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"acrF","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"arnA","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"bacA","crp",0.815032846397391,1.20364826998731e-05,"undirected"
"baeR","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"baeS","crp",0.850014115934469,2.08867142648117e-06,"undirected"
"blaAmpC","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"blaAmpH","crp",0.822467301380168,8.5648359853252e-06,"undirected"
"cpxA","crp",0.944810273174564,3.6895464461395e-10,"undirected"
"cpxR","crp",0.847264181855964,2.43387043807886e-06,"undirected"
"astA","emrA",0.89753088717874,8.11251050780726e-08,"undirected"
"lacY","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"lpfA","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"ompA","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"traA","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"yddA","emrA",0.844249908993483,2.86846547892239e-06,"undirected"
"Plasmid 38606113","emrA",0.924058087152717,6.0426272874281e-09,"undirected"
"acrD","emrA",0.829159631647644,6.22020324181349e-06,"undirected"
"acrE","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"acrF","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"acrS","emrA",0.99913423289387,0,"undirected"
"arnA","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"bacA","emrA",0.930240319826854,2.87939005971793e-09,"undirected"
"baeR","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"baeS","emrA",0.902271558756333,5.39189000114959e-08,"undirected"
"blaAmpC","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"blaAmpH","emrA",0.936011419522691,1.35227162800788e-09,"undirected"
"cpxA","emrA",0.878926830388964,3.39426701412293e-07,"undirected"
"cpxR","emrA",0.857360247275129,1.36712772569325e-06,"undirected"
"crp","emrA",0.754751739313691,0.000120133914605081,"undirected"
"astA","emrB",0.964412361155503,7.64144303389003e-12,"undirected"
"lacY","emrB",1,0,"undirected"
"lpfA","emrB",1,0,"undirected"
"ompA","emrB",1,0,"undirected"
"traA","emrB",1,0,"undirected"
"yddA","emrB",0.910599290576291,2.49556211251445e-08,"undirected"
"Plasmid 38606113","emrB",0.990153843984545,0,"undirected"
"acrD","emrB",0.899000407255393,7.16298618197442e-08,"undirected"
"acrE","emrB",1,0,"undirected"
"acrF","emrB",1,0,"undirected"
"acrS","emrB",0.920558164523759,8.94706353449237e-09,"undirected"
"arnA","emrB",1,0,"undirected"
"bacA","emrB",0.995756806002765,0,"undirected"
"baeR","emrB",1,0,"undirected"
"baeS","emrB",0.969106130507908,2.17648121747516e-12,"undirected"
"blaAmpC","emrB",1,0,"undirected"
"blaAmpH","emrB",1,0,"undirected"
"cpxA","emrB",0.945797323659147,3.14785530974859e-10,"undirected"
"cpxR","emrB",0.928851547393275,3.42067929537393e-09,"undirected"
"crp","emrB",0.822467301380168,8.5648359853252e-06,"undirected"
"emrA","emrB",0.936011419522691,1.35227162800788e-09,"undirected"
"astA","emrK",0.951844810672707,1.10988107593357e-10,"undirected"
"lacY","emrK",0.879047579464885,3.36546166490592e-07,"undirected"
"lpfA","emrK",0.879047579464885,3.36546166490592e-07,"undirected"
"ompA","emrK",0.879047579464885,3.36546166490592e-07,"undirected"
"traA","emrK",0.879047579464885,3.36546166490592e-07,"undirected"
"yddA","emrK",0.902393780924586,5.33394910462448e-08,"undirected"
"Plasmid 38606113","emrK",0.865120044064845,8.51224017051067e-07,"undirected"
"acrD","emrK",0.922258731529865,7.41054950736952e-09,"undirected"
"acrE","emrK",0.879047579464886,3.36546166490592e-07,"undirected"
"acrF","emrK",0.879047579464885,3.36546166490592e-07,"undirected"
